Orthogroup	protein_mansoni	sequence_Homo sapiens
OG0000226		11p15.4 dachsous cadherin-related 1 [Homo sapiens], 1p13.3 cadherin_ EGF LAG seven-pass G-type receptor 2 [Homo sapiens], 22q13.31 cadherin_ EGF LAG seven-pass G-type receptor 1 [Homo sapiens], 3p21.31 cadherin_ EGF LAG seven-pass G-type receptor 3 [Homo sapiens], 4q28.1 FAT atypical cadherin 4 [Homo sapiens]
OG0000227		12q13.1 sodium channel_ voltage gated_ type VIII alpha subunit [Homo sapiens], 2q24 sodium channel_ voltage gated_ type III alpha subunit [Homo sapiens], 2q24.3 sodium channel_ voltage gated_ type I alpha subunit [Homo sapiens], 2q24.3 sodium channel_ voltage gated_ type II alpha subunit [Homo sapiens], 3p21 sodium channel_ voltage gated_ type V alpha subunit [Homo sapiens]
OG0000228		15q26.1 aggrecan [Homo sapiens], 17q23 mannose receptor_ C type 2 [Homo sapiens], 18p11.32 collectin subfamily member 12 [Homo sapiens], 5q14.2-q14.3 versican [Homo sapiens], 6q25.3 insulin like growth factor 2 receptor [Homo sapiens]
OG0000229	6183.Smp_000160.1, 6183.Smp_008710.1, 6183.Smp_104970.1, 6183.Smp_189490.1	
OG0000230	6183.Smp_000460.1, 6183.Smp_000850.1, 6183.Smp_120800.1, 6183.Smp_153360.1	
OG0000231	6183.Smp_000980.1, 6183.Smp_063790.1, 6183.Smp_100090.1, 6183.Smp_103530.1	
OG0000232	6183.Smp_001050.1, 6183.Smp_019280.1, 6183.Smp_079010.1, 6183.Smp_131050.1	
OG0000233	6183.Smp_001560.1, 6183.Smp_071380.4, 6183.Smp_079400.1, 6183.Smp_125460.1	
OG0000234	6183.Smp_004190.1, 6183.Smp_123010.1, 6183.Smp_176930.1, 6183.Smp_176940.1	
OG0000235	6183.Smp_005230.2, 6183.Smp_103740.1, 6183.Smp_147680.1, 6183.Smp_158150.1	
OG0000236	6183.Smp_005670.1, 6183.Smp_104310.1, 6183.Smp_173990.1, 6183.Smp_190370.1	
OG0000237	6183.Smp_005790.1, 6183.Smp_142790.1	19p13.3 guanine nucleotide binding protein _G protein__ alpha 11 _Gq class_ [Homo sapiens], 9q21 guanine nucleotide binding protein _G protein__ q polypeptide [Homo sapiens]
OG0000238	6183.Smp_005860.1, 6183.Smp_065580.3, 6183.Smp_155850.1	9q21.32-q21.33 heterogeneous nuclear ribonucleoprotein K [Homo sapiens]
OG0000239	6183.Smp_006440.1, 6183.Smp_051530.1, 6183.Smp_149700.1	19q13.2 heterogeneous nuclear ribonucleoprotein L [Homo sapiens]
OG0000240	6183.Smp_006720.2, 6183.Smp_055870.1, 6183.Smp_102160.1, 6183.Smp_123870.1	
OG0000241	6183.Smp_008190.1, 6183.Smp_144620.1	11q23.3 Rho guanine nucleotide exchange factor 12 [Homo sapiens], 1q21 Rho guanine nucleotide exchange factor 11 [Homo sapiens]
OG0000242	6183.Smp_010160.1, 6183.Smp_020800.1, 6183.Smp_168350.1	13q14.3 SGT1 homolog_ MIS12 kinetochore complex assembly cochaperone [Homo sapiens]
OG0000243	6183.Smp_010230.1, 6183.Smp_090070.1, 6183.Smp_153610.1	22q11.2 histone cell cycle regulator [Homo sapiens]
OG0000244	6183.Smp_013690.1, 6183.Smp_075810.1, 6183.Smp_087580.1, 6183.Smp_087620.1	
OG0000245	6183.Smp_015390.1, 6183.Smp_145840.1, 6183.Smp_178480.1	1p35.3 WD and tetratricopeptide repeats 1 [Homo sapiens]
OG0000246	6183.Smp_018620.1, 6183.Smp_072340.1, 6183.Smp_082670.1, 6183.Smp_083120.1	
OG0000247	6183.Smp_018680.1, 6183.Smp_056200.1, 6183.Smp_196160.1, 6183.Smp_203680.1	
OG0000248	6183.Smp_019890.1, 6183.Smp_066670.1, 6183.Smp_179930.1	7q11.2 syntaxin 1A [Homo sapiens]
OG0000249	6183.Smp_020170.1, 6183.Smp_124690.1	19p13 calcium channel_ voltage-dependent_ P/Q type_ alpha 1A subunit [Homo sapiens], 9q34 calcium channel_ voltage-dependent_ N type_ alpha 1B subunit [Homo sapiens]
OG0000250	6183.Smp_024180.2, 6183.Smp_101970.1, 6183.Smp_135250.1, 6183.Smp_157110.1	
OG0000251	6183.Smp_024240.1, 6183.Smp_074990.1, 6183.Smp_075000.1, 6183.Smp_211320.1	
OG0000252	6183.Smp_026630.1, 6183.Smp_078320.1, 6183.Smp_126690.1, 6183.Smp_210570.1	
OG0000253	6183.Smp_027820.1, 6183.Smp_126880.1, 6183.Smp_137250.1, 6183.Smp_168430.1	
OG0000254	6183.Smp_028190.1, 6183.Smp_090520.1, 6183.Smp_171620.1, 6183.Smp_179110.1	
OG0000255	6183.Smp_029070.1, 6183.Smp_100310.1, 6183.Smp_106410.1, 6183.Smp_177260.1	
OG0000256	6183.Smp_030830.2, 6183.Smp_037700.1	4q21.1 GTPase activating protein _SH3 domain_ binding protein 2 [Homo sapiens], 5q33.1 GTPase activating protein _SH3 domain_ binding protein 1 [Homo sapiens]
OG0000257	6183.Smp_031560.1, 6183.Smp_123180.1, 6183.Smp_165260.1	17q22-q23 SMAD specific E3 ubiquitin protein ligase 2 [Homo sapiens]
OG0000258	6183.Smp_032970.1, 6183.Smp_032980.1, 6183.Smp_032990.1, 6183.Smp_139970.1	
OG0000259	6183.Smp_033040.1, 6183.Smp_038950.1, 6183.Smp_038960.1, 6183.Smp_047370.1	
OG0000260	6183.Smp_035390.1	12p13.31 protein tyrosine phosphatase_ non-receptor type 6 [Homo sapiens], 12q24.1 protein tyrosine phosphatase_ non-receptor type 11 [Homo sapiens], 7q11.23 protein tyrosine phosphatase_ non-receptor type 12 [Homo sapiens]
OG0000261	6183.Smp_035540.1, 6183.Smp_147960.1, 6183.Smp_147980.1, 6183.Smp_167300.1	
OG0000262	6183.Smp_036180.1, 6183.Smp_131190.1, 6183.Smp_163080.1	2q37 diacylglycerol kinase delta [Homo sapiens]
OG0000263	6183.Smp_037230.1, 6183.Smp_128920.1, 6183.Smp_149130.1, 6183.Smp_195040.1	
OG0000264	6183.Smp_037930.1, 6183.Smp_042630.1, 6183.Smp_042650.1, 6183.Smp_061500.1	
OG0000265	6183.Smp_038840.1, 6183.Smp_058130.1, 6183.Smp_093630.2	17q25.1 solute carrier family 25 _mitochondrial thiamine pyrophosphate carrier__ member 19 [Homo sapiens]
OG0000266	6183.Smp_041280.1, 6183.Smp_131780.1	11p11 CUGBP_ Elav-like family member 1 [Homo sapiens], 18q12 CUGBP_ Elav-like family member 4 [Homo sapiens]
OG0000267	6183.Smp_043570.1, 6183.Smp_044750.1, 6183.Smp_046290.1, 6183.Smp_145660.1	
OG0000268	6183.Smp_045410.1, 6183.Smp_045420.1, 6183.Smp_057130.1, 6183.Smp_086190.1	
OG0000269	6183.Smp_046790.1, 6183.Smp_127200.1	12q12 solute carrier family 2 _facilitated glucose transporter__ member 13 [Homo sapiens], 1p34.2 solute carrier family 2 _facilitated glucose transporter__ member 1 [Homo sapiens]
OG0000270	6183.Smp_048260.2, 6183.Smp_050590.1, 6183.Smp_063580.2	14q22.2 N_alpha_-acetyltransferase 30_ NatC catalytic subunit [Homo sapiens]
OG0000271	6183.Smp_048310.1, 6183.Smp_053230.1, 6183.Smp_066010.2, 6183.Smp_127160.1	
OG0000272	6183.Smp_049010.1, 6183.Smp_163680.1, 6183.Smp_164940.1	14q12 neuro-oncological ventral antigen 1 [Homo sapiens]
OG0000273	6183.Smp_049760.1	12q13 activin A receptor type IB [Homo sapiens], 2q23-q24 activin A receptor type I [Homo sapiens], 9q22 transforming growth factor beta receptor I [Homo sapiens]
OG0000274	6183.Smp_049990.1, 6183.Smp_143500.1	12q24.12 cut-like homeobox 2 [Homo sapiens], 7q22.1 cut-like homeobox 1 [Homo sapiens]
OG0000275	6183.Smp_050380.1, 6183.Smp_056390.1	17q mitogen-activated protein kinase kinase kinase 3 [Homo sapiens], 2q21.1 mitogen-activated protein kinase kinase kinase 2 [Homo sapiens]
OG0000276	6183.Smp_050470.1, 6183.Smp_150390.3, 6183.Smp_194110.1	3p21.33 WD repeat domain 48 [Homo sapiens]
OG0000277	6183.Smp_051210.1	1p35.1 karyopherin alpha 6 _importin alpha 7_ [Homo sapiens], 3q21 karyopherin alpha 1 [Homo sapiens], 3q25.33 karyopherin alpha 4 _importin alpha 3_ [Homo sapiens]
OG0000278	6183.Smp_051280.1, 6183.Smp_131650.1	17p13.3 SMG6 nonsense mediated mRNA decay factor [Homo sapiens], 1q25 SMG7 nonsense mediated mRNA decay factor [Homo sapiens]
OG0000279	6183.Smp_051990.1, 6183.Smp_133510.1, 6183.Smp_139810.1, 6183.Smp_149990.1	
OG0000280	6183.Smp_052350.1	10q26.12 zinc finger_ RAN-binding domain containing 1 [Homo sapiens], 6q23-q25 TNF alpha induced protein 3 [Homo sapiens], 8q13 valosin containing protein _p97_/p47 complex interacting protein 1 [Homo sapiens]
OG0000281	6183.Smp_052460.1, 6183.Smp_150270.1	10p11.2 cullin 2 [Homo sapiens], 7q36.1 cullin 1 [Homo sapiens]
OG0000282	6183.Smp_055850.1, 6183.Smp_123980.1, 6183.Smp_123990.1, 6183.Smp_163830.1	
OG0000283	6183.Smp_056360.8, 6183.Smp_193440.1	10q22.1 cell division cycle and apoptosis regulator 1 [Homo sapiens], 8p22 cell cycle and apoptosis regulator 2 [Homo sapiens]
OG0000284	6183.Smp_056620.1, 6183.Smp_069600.1, 6183.Smp_127490.1, 6183.Smp_129130.1	
OG0000285	6183.Smp_062240.1, 6183.Smp_123600.1, 6183.Smp_155640.1, 6183.Smp_168860.1	
OG0000286	6183.Smp_062920.1, 6183.Smp_146390.1, 6183.Smp_211030.1	11q13.4 protein phosphatase methylesterase 1 [Homo sapiens]
OG0000287	6183.Smp_063110.1	1p34-p32 zinc finger_ MYM-type 4 [Homo sapiens], 3p21.31 glutamine-rich 1 [Homo sapiens], Xq13.1 zinc finger_ MYM-type 3 [Homo sapiens]
OG0000288	6183.Smp_064860.1, 6183.Smp_151350.1, 6183.Smp_165540.1	11q13 stress induced phosphoprotein 1 [Homo sapiens]
OG0000289	6183.Smp_068180.1, 6183.Smp_128860.1, 6183.Smp_159060.1	5q23.3-q31.2 lysyl oxidase [Homo sapiens]
OG0000290	6183.Smp_068780.1	1q32.11 nuclear receptor subfamily 5 group A member 2 [Homo sapiens], 9q33 nuclear receptor subfamily 5 group A member 1 [Homo sapiens], 9q33.3 nuclear receptor subfamily 6 group A member 1 [Homo sapiens]
OG0000291	6183.Smp_070370.1, 6183.Smp_070380.1, 6183.Smp_075500.1, 6183.Smp_198560.1	
OG0000292	6183.Smp_071770.1, 6183.Smp_098850.1, 6183.Smp_151080.1, 6183.Smp_160090.1	
OG0000293	6183.Smp_072320.1, 6183.Smp_094680.1, 6183.Smp_106930.1	11q24.1 heat shock protein family A _Hsp70_ member 8 [Homo sapiens]
OG0000294	6183.Smp_073450.1, 6183.Smp_124760.1, 6183.Smp_157380.1, 6183.Smp_184180.1	
OG0000295	6183.Smp_073930.1	14q32.33 v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens], 19q13.1-q13.2 v-akt murine thymoma viral oncogene homolog 2 [Homo sapiens], 1q44 v-akt murine thymoma viral oncogene homolog 3 [Homo sapiens]
OG0000296	6183.Smp_074400.1, 6183.Smp_139020.1, 6183.Smp_173820.1	17p11.2 ubiquitin specific peptidase 22 [Homo sapiens]
OG0000297	6183.Smp_077810.1, 6183.Smp_172000.1, 6183.Smp_188800.1	12p12.3 asunder spermatogenesis regulator [Homo sapiens]
OG0000298	6183.Smp_078780.1, 6183.Smp_085110.2, 6183.Smp_092460.1, 6183.Smp_196810.1	
OG0000299	6183.Smp_080120.2	2q22.2-q23.3 activin A receptor type IIA [Homo sapiens], 2q33-q34 bone morphogenetic protein receptor type II [Homo sapiens], 3p22 activin A receptor type IIB [Homo sapiens]
OG0000300	6183.Smp_081900.2, 6183.Smp_081920.1, 6183.Smp_166340.1, 6183.Smp_166350.1	
OG0000301	6183.Smp_082660.1	19q13.4 tripartite motif containing 28 [Homo sapiens], 1p13.1 tripartite motif containing 33 [Homo sapiens], 3p22.3 tripartite motif containing 71_ E3 ubiquitin protein ligase [Homo sapiens]
OG0000302	6183.Smp_083770.1, 6183.Smp_123680.1, 6183.Smp_162650.1	11q13.2 anoctamin 1_ calcium activated chloride channel [Homo sapiens]
OG0000303	6183.Smp_084600.1, 6183.Smp_095090.1, 6183.Smp_144610.1, 6183.Smp_203320.1	
OG0000304	6183.Smp_084890.1, 6183.Smp_104270.1, 6183.Smp_153340.1, 6183.Smp_153390.2	
OG0000305	6183.Smp_085480.1, 6183.Smp_125180.1, 6183.Smp_150930.1, 6183.Smp_201310.1	
OG0000306	6183.Smp_087320.1, 6183.Smp_095350.1, 6183.Smp_141360.1, 6183.Smp_165400.3	
OG0000307	6183.Smp_088700.1, 6183.Smp_088720.1, 6183.Smp_170410.1, 6183.Smp_170420.1	
OG0000308	6183.Smp_088990.1, 6183.Smp_132770.1, 6183.Smp_133050.1, 6183.Smp_150890.1	
OG0000309	6183.Smp_089780.1, 6183.Smp_099640.1, 6183.Smp_179310.1, 6183.Smp_205110.1	
OG0000310	6183.Smp_092880.2	19p13.1 single stranded DNA binding protein 4 [Homo sapiens], 1p32.3 single stranded DNA binding protein 3 [Homo sapiens], 5q14.1 single-stranded DNA binding protein 2 [Homo sapiens]
OG0000311	6183.Smp_098330.1, 6183.Smp_104660.1, 6183.Smp_210310.1	9q34 ribosomal protein L7a [Homo sapiens]
OG0000312	6183.Smp_101780.1, 6183.Smp_118190.1, 6183.Smp_166110.1	7q31.3 staphylococcal nuclease and tudor domain containing 1 [Homo sapiens]
OG0000313	6183.Smp_102210.1, 6183.Smp_131580.1, 6183.Smp_143430.1, 6183.Smp_160310.1	
OG0000314	6183.Smp_104210.1, 6183.Smp_180030.1, 6183.Smp_180350.1	Xq28 opsin 1 _cone pigments__ long-wave-sensitive [Homo sapiens]
OG0000315	6183.Smp_105020.1, 6183.Smp_128750.1, 6183.Smp_157020.1, 6183.Smp_197080.1	
OG0000316	6183.Smp_108050.1, 6183.Smp_116800.1, 6183.Smp_126240.1, 6183.Smp_157010.1	
OG0000317	6183.Smp_108600.1, 6183.Smp_175890.1, 6183.Smp_181700.1, 6183.Smp_187110.1	
OG0000318	6183.Smp_112590.1, 6183.Smp_113460.1, 6183.Smp_186530.1, 6183.Smp_186540.1	
OG0000319	6183.Smp_113530.1, 6183.Smp_178240.1, 6183.Smp_184460.1, 6183.Smp_185350.1	
OG0000320	6183.Smp_113640.1, 6183.Smp_186670.1	2p22-p21 carbamoyl-phosphate synthetase 2_ aspartate transcarbamylase_ and dihydroorotase [Homo sapiens], Xp21.1 ornithine carbamoyltransferase [Homo sapiens]
OG0000321	6183.Smp_118890.1, 6183.Smp_120260.1, 6183.Smp_168440.1, 6183.Smp_193740.1	
OG0000322	6183.Smp_119140.1, 6183.Smp_161760.1, 6183.Smp_201920.1, 6183.Smp_203290.1	
OG0000323	6183.Smp_119320.1, 6183.Smp_133490.1, 6183.Smp_134260.1, 6183.Smp_198810.1	
OG0000324	6183.Smp_125510.1, 6183.Smp_129830.1, 6183.Smp_135730.1, 6183.Smp_147830.1	
OG0000325	6183.Smp_126530.1, 6183.Smp_168810.1	21q21-q22.1 GA binding protein transcription factor alpha subunit [Homo sapiens], 21q22.3 v-ets avian erythroblastosis virus E26 oncogene homolog 2 [Homo sapiens]
OG0000326	6183.Smp_126850.2	3p21.3 RNA binding motif protein 5 [Homo sapiens], 3p21.3 RNA binding motif protein 6 [Homo sapiens], Xp11.3 RNA binding motif protein 10 [Homo sapiens]
OG0000327	6183.Smp_127740.1, 6183.Smp_160620.1	2q33 ADAM metallopeptidase domain 23 [Homo sapiens], 7q21 ADAM metallopeptidase domain 22 [Homo sapiens]
OG0000328	6183.Smp_128060.1	16q12.1 spalt-like transcription factor 1 [Homo sapiens], 18q12 zinc finger protein 24 [Homo sapiens], 20q13.2 spalt-like transcription factor 4 [Homo sapiens]
OG0000329	6183.Smp_128640.1, 6183.Smp_155520.1, 6183.Smp_155540.1, 6183.Smp_160150.1	
OG0000330	6183.Smp_129000.1, 6183.Smp_133070.1, 6183.Smp_133080.1, 6183.Smp_133090.1	
OG0000331	6183.Smp_129170.1, 6183.Smp_130250.1, 6183.Smp_141230.1, 6183.Smp_150860.1	
OG0000332	6183.Smp_129820.1, 6183.Smp_147250.2, 6183.Smp_167610.1, 6183.Smp_171740.1	
OG0000333	6183.Smp_130920.1, 6183.Smp_134590.1, 6183.Smp_172040.1	19p13.12 unc-13 homolog A _C. elegans_ [Homo sapiens]
OG0000334	6183.Smp_131260.1, 6183.Smp_148190.1	10q25.3 transcription factor 7-like 2 _T-cell specific_ HMG-box_ [Homo sapiens], 4q23-q25 lymphoid enhancer-binding factor 1 [Homo sapiens]
OG0000335	6183.Smp_131640.1, 6183.Smp_154730.1	17q23.2 musashi RNA binding protein 2 [Homo sapiens], 19p13.3 DAZ associated protein 1 [Homo sapiens]
OG0000336	6183.Smp_132060.1, 6183.Smp_138230.1, 6183.Smp_143190.1, 6183.Smp_163870.1	
OG0000337	6183.Smp_133250.1, 6183.Smp_133690.1, 6183.Smp_135340.1, 6183.Smp_150730.1	
OG0000338	6183.Smp_134430.1, 6183.Smp_149230.1, 6183.Smp_202880.1	10p12 neuropilin 1 [Homo sapiens]
OG0000339	6183.Smp_135380.1	12q13 IKAROS family zinc finger 4 [Homo sapiens], 2q13.1 IKAROS family zinc finger 2 [Homo sapiens], 7p12.2 IKAROS family zinc finger 1 [Homo sapiens]
OG0000340	6183.Smp_135700.1, 6183.Smp_159180.1, 6183.Smp_168290.1	13q34 tubulin gamma complex associated protein 3 [Homo sapiens]
OG0000341	6183.Smp_137980.1, 6183.Smp_153200.1, 6183.Smp_153210.1, 6183.Smp_204020.1	
OG0000342	6183.Smp_138620.1	1p32-p31 microtubule-actin crosslinking factor 1 [Homo sapiens], 6p12.1 dystonin [Homo sapiens], 6p24.3 desmoplakin [Homo sapiens]
OG0000343	6183.Smp_139530.1	17p13.1 tumor protein p53 [Homo sapiens], 1p36.3 tumor protein p73 [Homo sapiens], 3q27-q29 tumor protein p63 [Homo sapiens]
OG0000344	6183.Smp_140610.1, 6183.Smp_204090.1, 6183.Smp_204400.1, 6183.Smp_205520.1	
OG0000345	6183.Smp_140920.1, 6183.Smp_147430.1, 6183.Smp_153780.1	4q32.1 glutamate receptor_ ionotropic_ AMPA 2 [Homo sapiens]
OG0000346	6183.Smp_143570.1, 6183.Smp_170390.1	10p15.3 zinc finger_ MYND-type containing 11 [Homo sapiens], 20q13.12 zinc finger_ MYND-type containing 8 [Homo sapiens]
OG0000347	6183.Smp_144280.1, 6183.Smp_154470.1	10q23 phosphatase and tensin homolog [Homo sapiens], 7p12.3 tensin 3 [Homo sapiens]
OG0000348	6183.Smp_145090.1, 6183.Smp_164160.1, 6183.Smp_207060.1	1p36 serine/arginine repetitive matrix 1 [Homo sapiens]
OG0000349	6183.Smp_147860.1, 6183.Smp_151880.1, 6183.Smp_163160.1, 6183.Smp_169150.1	
OG0000350	6183.Smp_147950.1, 6183.Smp_164080.1	19p13.12 bromodomain containing 4 [Homo sapiens], 6p21.3 bromodomain containing 2 [Homo sapiens]
OG0000351	6183.Smp_152430.1	19p13.13 nuclear factor I/X _CCAAT-binding transcription factor_ [Homo sapiens], 1p31.3-p31.2 nuclear factor I/A [Homo sapiens], 9p24.1 nuclear factor I/B [Homo sapiens]
OG0000352	6183.Smp_152940.1, 6183.Smp_168630.1, 6183.Smp_174870.1, 6183.Smp_179570.1	
OG0000353	6183.Smp_153660.1	10q23.33 cyclin J [Homo sapiens], 12p13 cyclin D2 [Homo sapiens], 6p21 cyclin D3 [Homo sapiens]
OG0000354	6183.Smp_154240.1, 6183.Smp_157150.1, 6183.Smp_211210.1	12q13.11 AT-rich interaction domain 2 [Homo sapiens]
OG0000355	6183.Smp_156680.1, 6183.Smp_156700.1, 6183.Smp_199810.1	2q34 phosphoinositide kinase_ FYVE finger containing [Homo sapiens]
OG0000356	6183.Smp_157840.1	20q13.2 transcription factor AP-2 gamma _activating enhancer binding protein 2 gamma_ [Homo sapiens], 6p12 transcription factor AP-2 beta _activating enhancer binding protein 2 beta_ [Homo sapiens], 6p24.3 transcription factor AP-2 alpha _activating enhancer binding protein 2 alpha_ [Homo sapiens]
OG0000357	6183.Smp_159450.1, 6183.Smp_173870.1, 6183.Smp_198240.1	6q12-q13 collagen_ type XII_ alpha 1 [Homo sapiens]
OG0000358	6183.Smp_160710.1, 6183.Smp_161250.1	3p14.1-p12.3 microphthalmia-associated transcription factor [Homo sapiens], 6p21 transcription factor EB [Homo sapiens]
OG0000359	6183.Smp_164960.1	1p36.2 phosphatidylinositol-4_5-bisphosphate 3-kinase catalytic subunit delta [Homo sapiens], 3q22.3 phosphatidylinositol-4_5-bisphosphate 3-kinase catalytic subunit beta [Homo sapiens], 3q26.3 phosphatidylinositol-4_5-bisphosphate 3-kinase catalytic subunit alpha [Homo sapiens]
OG0000360	6183.Smp_168390.1	11p12 TNF receptor associated factor 6 [Homo sapiens], 14q32.32 TNF receptor associated factor 3 [Homo sapiens], 9q34 TNF receptor associated factor 2 [Homo sapiens]
OG0000361	6183.Smp_170910.1	12q24 regulatory factor X4 [Homo sapiens], 19p13.1 regulatory factor X1 [Homo sapiens], 9p24.2 regulatory factor X3 [Homo sapiens]
OG0000362	6183.Smp_172130.1	15q protein inhibitor of activated STAT 1 [Homo sapiens], 19p13.3 protein inhibitor of activated STAT 4 [Homo sapiens], 1q21 protein inhibitor of activated STAT 3 [Homo sapiens]
OG0000363	6183.Smp_177580.1, 6183.Smp_183040.1, 6183.Smp_184280.1, 6183.Smp_205560.1	
OG0000364	6183.Smp_178780.1	14q13.1 neuronal PAS domain protein 3 [Homo sapiens], 19q13.2-q13.3 neuronal PAS domain protein 1 [Homo sapiens], 6q16.3 single-minded family bHLH transcription factor 1 [Homo sapiens]
OG0000365	6183.Smp_191310.1	12q13.1 histone deacetylase 7 [Homo sapiens], 2q37.3 histone deacetylase 4 [Homo sapiens], 7p21.1 histone deacetylase 9 [Homo sapiens]
OG0000366	6183.Smp_194670.1	10q26.3 early B-cell factor 3 [Homo sapiens], 5q34 early B-cell factor 1 [Homo sapiens], 8p21.1 early B-cell factor 2 [Homo sapiens]
OG0000367	6183.Smp_200820.1, 6183.Smp_200840.1, 6183.Smp_200870.1, 6183.Smp_200880.1	
OG0000368	6183.Smp_205450.1, 6183.Smp_205460.1, 6183.Smp_205470.1, 6183.Smp_205480.1	
OG0000369		17q11.2 signal transducer and activator of transcription 5A [Homo sapiens], 17q11.2 signal transducer and activator of transcription 5B [Homo sapiens], 17q21 signal transducer and activator of transcription 3 _acute-phase response factor_ [Homo sapiens], 2q32.2-q32.3 signal transducer and activator of transcription 1 [Homo sapiens]
OG0000370		14q32 jagged 2 [Homo sapiens], 15q14 delta-like 4 _Drosophila_ [Homo sapiens], 20p12.1-p11.23 jagged 1 [Homo sapiens], 6q27 delta-like 1 _Drosophila_ [Homo sapiens]
OG0000371	6183.Smp_000100.1	7q32-q35 filamin C [Homo sapiens], Xq28 filamin A [Homo sapiens]
OG0000372	6183.Smp_000240.1	16p11.2 FUS RNA binding protein [Homo sapiens], 22q12.2 EWS RNA binding protein 1 [Homo sapiens]
OG0000373	6183.Smp_000270.1, 6183.Smp_000280.1, 6183.Smp_077920.1	
OG0000374	6183.Smp_000410.1, 6183.Smp_000430.1, 6183.Smp_191910.1	
OG0000375	6183.Smp_000510.1, 6183.Smp_028730.1, 6183.Smp_048240.1	
OG0000376	6183.Smp_000530.1	2q14 GLI family zinc finger 2 [Homo sapiens], 7p13 GLI family zinc finger 3 [Homo sapiens]
OG0000377	6183.Smp_000900.1, 6183.Smp_120620.1, 6183.Smp_137050.1	
OG0000378	6183.Smp_001030.1, 6183.Smp_142030.1	7q35-q36 protein kinase_ AMP-activated_ gamma 2 non-catalytic subunit [Homo sapiens]
OG0000379	6183.Smp_001160.1, 6183.Smp_098920.1, 6183.Smp_152230.1	
OG0000380	6183.Smp_001500.1	2q37.1 eukaryotic translation initiation factor 4E family member 2 [Homo sapiens], 4q23 eukaryotic translation initiation factor 4E [Homo sapiens]
OG0000381	6183.Smp_002350.1, 6183.Smp_123360.1, 6183.Smp_123370.1	
OG0000382	6183.Smp_002550.1, 6183.Smp_032320.6	1q21.1 RNA binding motif protein 8A [Homo sapiens]
OG0000383	6183.Smp_002640.1	12q13.13 homeobox C6 [Homo sapiens], 7p15.2 homeobox A3 [Homo sapiens]
OG0000384	6183.Smp_002920.1, 6183.Smp_140510.1, 6183.Smp_140560.1	
OG0000385	6183.Smp_003300.1, 6183.Smp_090080.1, 6183.Smp_090090.1	
OG0000386	6183.Smp_004020.1, 6183.Smp_024490.1, 6183.Smp_042810.1	
OG0000387	6183.Smp_004220.1, 6183.Smp_124410.1, 6183.Smp_167750.1	
OG0000388	6183.Smp_004630.1, 6183.Smp_008580.1, 6183.Smp_065770.1	
OG0000389	6183.Smp_004640.1, 6183.Smp_040710.1, 6183.Smp_099170.1	
OG0000390	6183.Smp_005080.1, 6183.Smp_175950.1, 6183.Smp_211200.1	
OG0000391	6183.Smp_005210.1	1p34 histone deacetylase 1 [Homo sapiens], 6q21 histone deacetylase 2 [Homo sapiens]
OG0000392	6183.Smp_005900.1	11q13 Yes associated protein 1 [Homo sapiens], 3q23-q24 WW domain containing transcription regulator 1 [Homo sapiens]
OG0000393	6183.Smp_006680.1, 6183.Smp_031950.2	3q26.1 programmed cell death 10 [Homo sapiens]
OG0000394	6183.Smp_006730.1, 6183.Smp_006750.1, 6183.Smp_006760.1	
OG0000395	6183.Smp_006960.1, 6183.Smp_128900.1, 6183.Smp_134770.1	
OG0000396	6183.Smp_007270.1, 6183.Smp_046130.1, 6183.Smp_161970.1	
OG0000397	6183.Smp_007660.1, 6183.Smp_034100.1	1p36.1 transcription elongation factor B _SIII__ polypeptide 3 _110kDa_ elongin A_ [Homo sapiens]
OG0000398	6183.Smp_007730.1, 6183.Smp_151250.1, 6183.Smp_154160.1	
OG0000399	6183.Smp_008230.1, 6183.Smp_174780.1	10p12 RAB18_ member RAS oncogene family [Homo sapiens]
OG0000400	6183.Smp_008260.1	19q13 glycogen synthase kinase 3 alpha [Homo sapiens], 3q13.3 glycogen synthase kinase 3 beta [Homo sapiens]
OG0000401	6183.Smp_008320.1, 6183.Smp_019610.1, 6183.Smp_173550.1	
OG0000402	6183.Smp_008660.1, 6183.Smp_165930.1, 6183.Smp_197860.1	
OG0000403	6183.Smp_009230.1, 6183.Smp_191670.1, 6183.Smp_203090.1	
OG0000404	6183.Smp_009520.1, 6183.Smp_138930.2, 6183.Smp_148050.1	
OG0000405	6183.Smp_009550.1, 6183.Smp_016540.1, 6183.Smp_143380.1	
OG0000406	6183.Smp_009600.1	16p polo-like kinase 1 [Homo sapiens], 5q12.1-q13.2 polo-like kinase 2 [Homo sapiens]
OG0000407	6183.Smp_010140.1, 6183.Smp_083150.1, 6183.Smp_084540.2	
OG0000408	6183.Smp_010280.1, 6183.Smp_027000.1, 6183.Smp_038830.1	
OG0000409	6183.Smp_010370.1, 6183.Smp_027040.1, 6183.Smp_099890.1	
OG0000410	6183.Smp_010660.1, 6183.Smp_038510.1	12q24.13 ribosomal protein L6 [Homo sapiens]
OG0000411	6183.Smp_010720.1, 6183.Smp_010770.1, 6183.Smp_130370.1	
OG0000412	6183.Smp_010820.1, 6183.Smp_145300.1, 6183.Smp_156530.1	
OG0000413	6183.Smp_010940.1	1q22 acidic nuclear phosphoprotein 32 family member E [Homo sapiens], 9q22.32 acidic nuclear phosphoprotein 32 family member B [Homo sapiens]
