Orthogroup	Total	protein_mansoni	sequence_Homo sapiens
OG0000301	4	6183.Smp_082660.1	19q13.4 tripartite motif containing 28 [Homo sapiens], 1p13.1 tripartite motif containing 33 [Homo sapiens], 3p22.3 tripartite motif containing 71_ E3 ubiquitin protein ligase [Homo sapiens]
OG0000302	4	6183.Smp_083770.1, 6183.Smp_123680.1, 6183.Smp_162650.1	11q13.2 anoctamin 1_ calcium activated chloride channel [Homo sapiens]
OG0000310	4	6183.Smp_092880.2	19p13.1 single stranded DNA binding protein 4 [Homo sapiens], 1p32.3 single stranded DNA binding protein 3 [Homo sapiens], 5q14.1 single-stranded DNA binding protein 2 [Homo sapiens]
OG0000311	4	6183.Smp_098330.1, 6183.Smp_104660.1, 6183.Smp_210310.1	9q34 ribosomal protein L7a [Homo sapiens]
OG0000312	4	6183.Smp_101780.1, 6183.Smp_118190.1, 6183.Smp_166110.1	7q31.3 staphylococcal nuclease and tudor domain containing 1 [Homo sapiens]
OG0000314	4	6183.Smp_104210.1, 6183.Smp_180030.1, 6183.Smp_180350.1	Xq28 opsin 1 _cone pigments__ long-wave-sensitive [Homo sapiens]
OG0000320	4	6183.Smp_113640.1, 6183.Smp_186670.1	2p22-p21 carbamoyl-phosphate synthetase 2_ aspartate transcarbamylase_ and dihydroorotase [Homo sapiens], Xp21.1 ornithine carbamoyltransferase [Homo sapiens]
OG0000325	4	6183.Smp_126530.1, 6183.Smp_168810.1	21q21-q22.1 GA binding protein transcription factor alpha subunit [Homo sapiens], 21q22.3 v-ets avian erythroblastosis virus E26 oncogene homolog 2 [Homo sapiens]
OG0000326	4	6183.Smp_126850.2	3p21.3 RNA binding motif protein 5 [Homo sapiens], 3p21.3 RNA binding motif protein 6 [Homo sapiens], Xp11.3 RNA binding motif protein 10 [Homo sapiens]
OG0000327	4	6183.Smp_127740.1, 6183.Smp_160620.1	2q33 ADAM metallopeptidase domain 23 [Homo sapiens], 7q21 ADAM metallopeptidase domain 22 [Homo sapiens]
OG0000328	4	6183.Smp_128060.1	16q12.1 spalt-like transcription factor 1 [Homo sapiens], 18q12 zinc finger protein 24 [Homo sapiens], 20q13.2 spalt-like transcription factor 4 [Homo sapiens]
OG0000333	4	6183.Smp_130920.1, 6183.Smp_134590.1, 6183.Smp_172040.1	19p13.12 unc-13 homolog A _C. elegans_ [Homo sapiens]
OG0000334	4	6183.Smp_131260.1, 6183.Smp_148190.1	10q25.3 transcription factor 7-like 2 _T-cell specific_ HMG-box_ [Homo sapiens], 4q23-q25 lymphoid enhancer-binding factor 1 [Homo sapiens]
OG0000335	4	6183.Smp_131640.1, 6183.Smp_154730.1	17q23.2 musashi RNA binding protein 2 [Homo sapiens], 19p13.3 DAZ associated protein 1 [Homo sapiens]
OG0000338	4	6183.Smp_134430.1, 6183.Smp_149230.1, 6183.Smp_202880.1	10p12 neuropilin 1 [Homo sapiens]
OG0000339	4	6183.Smp_135380.1	12q13 IKAROS family zinc finger 4 [Homo sapiens], 2q13.1 IKAROS family zinc finger 2 [Homo sapiens], 7p12.2 IKAROS family zinc finger 1 [Homo sapiens]
OG0000340	4	6183.Smp_135700.1, 6183.Smp_159180.1, 6183.Smp_168290.1	13q34 tubulin gamma complex associated protein 3 [Homo sapiens]
OG0000342	4	6183.Smp_138620.1	1p32-p31 microtubule-actin crosslinking factor 1 [Homo sapiens], 6p12.1 dystonin [Homo sapiens], 6p24.3 desmoplakin [Homo sapiens]
OG0000343	4	6183.Smp_139530.1	17p13.1 tumor protein p53 [Homo sapiens], 1p36.3 tumor protein p73 [Homo sapiens], 3q27-q29 tumor protein p63 [Homo sapiens]
OG0000345	4	6183.Smp_140920.1, 6183.Smp_147430.1, 6183.Smp_153780.1	4q32.1 glutamate receptor_ ionotropic_ AMPA 2 [Homo sapiens]
OG0000346	4	6183.Smp_143570.1, 6183.Smp_170390.1	10p15.3 zinc finger_ MYND-type containing 11 [Homo sapiens], 20q13.12 zinc finger_ MYND-type containing 8 [Homo sapiens]
OG0000347	4	6183.Smp_144280.1, 6183.Smp_154470.1	10q23 phosphatase and tensin homolog [Homo sapiens], 7p12.3 tensin 3 [Homo sapiens]
OG0000348	4	6183.Smp_145090.1, 6183.Smp_164160.1, 6183.Smp_207060.1	1p36 serine/arginine repetitive matrix 1 [Homo sapiens]
OG0000350	4	6183.Smp_147950.1, 6183.Smp_164080.1	19p13.12 bromodomain containing 4 [Homo sapiens], 6p21.3 bromodomain containing 2 [Homo sapiens]
OG0000351	4	6183.Smp_152430.1	19p13.13 nuclear factor I/X _CCAAT-binding transcription factor_ [Homo sapiens], 1p31.3-p31.2 nuclear factor I/A [Homo sapiens], 9p24.1 nuclear factor I/B [Homo sapiens]
OG0000353	4	6183.Smp_153660.1	10q23.33 cyclin J [Homo sapiens], 12p13 cyclin D2 [Homo sapiens], 6p21 cyclin D3 [Homo sapiens]
OG0000354	4	6183.Smp_154240.1, 6183.Smp_157150.1, 6183.Smp_211210.1	12q13.11 AT-rich interaction domain 2 [Homo sapiens]
OG0000355	4	6183.Smp_156680.1, 6183.Smp_156700.1, 6183.Smp_199810.1	2q34 phosphoinositide kinase_ FYVE finger containing [Homo sapiens]
OG0000356	4	6183.Smp_157840.1	20q13.2 transcription factor AP-2 gamma _activating enhancer binding protein 2 gamma_ [Homo sapiens], 6p12 transcription factor AP-2 beta _activating enhancer binding protein 2 beta_ [Homo sapiens], 6p24.3 transcription factor AP-2 alpha _activating enhancer binding protein 2 alpha_ [Homo sapiens]
OG0000357	4	6183.Smp_159450.1, 6183.Smp_173870.1, 6183.Smp_198240.1	6q12-q13 collagen_ type XII_ alpha 1 [Homo sapiens]
OG0000358	4	6183.Smp_160710.1, 6183.Smp_161250.1	3p14.1-p12.3 microphthalmia-associated transcription factor [Homo sapiens], 6p21 transcription factor EB [Homo sapiens]
OG0000359	4	6183.Smp_164960.1	1p36.2 phosphatidylinositol-4_5-bisphosphate 3-kinase catalytic subunit delta [Homo sapiens], 3q22.3 phosphatidylinositol-4_5-bisphosphate 3-kinase catalytic subunit beta [Homo sapiens], 3q26.3 phosphatidylinositol-4_5-bisphosphate 3-kinase catalytic subunit alpha [Homo sapiens]
OG0000360	4	6183.Smp_168390.1	11p12 TNF receptor associated factor 6 [Homo sapiens], 14q32.32 TNF receptor associated factor 3 [Homo sapiens], 9q34 TNF receptor associated factor 2 [Homo sapiens]
OG0000361	4	6183.Smp_170910.1	12q24 regulatory factor X4 [Homo sapiens], 19p13.1 regulatory factor X1 [Homo sapiens], 9p24.2 regulatory factor X3 [Homo sapiens]
OG0000362	4	6183.Smp_172130.1	15q protein inhibitor of activated STAT 1 [Homo sapiens], 19p13.3 protein inhibitor of activated STAT 4 [Homo sapiens], 1q21 protein inhibitor of activated STAT 3 [Homo sapiens]
OG0000364	4	6183.Smp_178780.1	14q13.1 neuronal PAS domain protein 3 [Homo sapiens], 19q13.2-q13.3 neuronal PAS domain protein 1 [Homo sapiens], 6q16.3 single-minded family bHLH transcription factor 1 [Homo sapiens]
OG0000365	4	6183.Smp_191310.1	12q13.1 histone deacetylase 7 [Homo sapiens], 2q37.3 histone deacetylase 4 [Homo sapiens], 7p21.1 histone deacetylase 9 [Homo sapiens]
OG0000366	4	6183.Smp_194670.1	10q26.3 early B-cell factor 3 [Homo sapiens], 5q34 early B-cell factor 1 [Homo sapiens], 8p21.1 early B-cell factor 2 [Homo sapiens]
OG0000371	3	6183.Smp_000100.1	7q32-q35 filamin C [Homo sapiens], Xq28 filamin A [Homo sapiens]
OG0000372	3	6183.Smp_000240.1	16p11.2 FUS RNA binding protein [Homo sapiens], 22q12.2 EWS RNA binding protein 1 [Homo sapiens]
OG0000376	3	6183.Smp_000530.1	2q14 GLI family zinc finger 2 [Homo sapiens], 7p13 GLI family zinc finger 3 [Homo sapiens]
OG0000378	3	6183.Smp_001030.1, 6183.Smp_142030.1	7q35-q36 protein kinase_ AMP-activated_ gamma 2 non-catalytic subunit [Homo sapiens]
OG0000380	3	6183.Smp_001500.1	2q37.1 eukaryotic translation initiation factor 4E family member 2 [Homo sapiens], 4q23 eukaryotic translation initiation factor 4E [Homo sapiens]
OG0000382	3	6183.Smp_002550.1, 6183.Smp_032320.6	1q21.1 RNA binding motif protein 8A [Homo sapiens]
OG0000383	3	6183.Smp_002640.1	12q13.13 homeobox C6 [Homo sapiens], 7p15.2 homeobox A3 [Homo sapiens]
OG0000391	3	6183.Smp_005210.1	1p34 histone deacetylase 1 [Homo sapiens], 6q21 histone deacetylase 2 [Homo sapiens]
OG0000392	3	6183.Smp_005900.1	11q13 Yes associated protein 1 [Homo sapiens], 3q23-q24 WW domain containing transcription regulator 1 [Homo sapiens]
OG0000393	3	6183.Smp_006680.1, 6183.Smp_031950.2	3q26.1 programmed cell death 10 [Homo sapiens]
OG0000397	3	6183.Smp_007660.1, 6183.Smp_034100.1	1p36.1 transcription elongation factor B _SIII__ polypeptide 3 _110kDa_ elongin A_ [Homo sapiens]
OG0000399	3	6183.Smp_008230.1, 6183.Smp_174780.1	10p12 RAB18_ member RAS oncogene family [Homo sapiens]
OG0000400	3	6183.Smp_008260.1	19q13 glycogen synthase kinase 3 alpha [Homo sapiens], 3q13.3 glycogen synthase kinase 3 beta [Homo sapiens]
OG0000406	3	6183.Smp_009600.1	16p polo-like kinase 1 [Homo sapiens], 5q12.1-q13.2 polo-like kinase 2 [Homo sapiens]
OG0000410	3	6183.Smp_010660.1, 6183.Smp_038510.1	12q24.13 ribosomal protein L6 [Homo sapiens]
OG0000413	3	6183.Smp_010940.1	1q22 acidic nuclear phosphoprotein 32 family member E [Homo sapiens], 9q22.32 acidic nuclear phosphoprotein 32 family member B [Homo sapiens]
OG0000414	3	6183.Smp_011150.1, 6183.Smp_173480.1	20p12 taspase 1 [Homo sapiens]
OG0000417	3	6183.Smp_012970.1	17q22 myotubularin related protein 4 [Homo sapiens], 22q12.2 myotubularin related protein 3 [Homo sapiens]
OG0000418	3	6183.Smp_013060.1, 6183.Smp_212740.1	5q31 SMAD family member 5 [Homo sapiens]
OG0000421	3	6183.Smp_014050.1, 6183.Smp_090450.1	Xq28 host cell factor C1 [Homo sapiens]
OG0000422	3	6183.Smp_014400.3	10p11 enhancer of polycomb homolog 1 _Drosophila_ [Homo sapiens], 2q23 enhancer of polycomb homolog 2 _Drosophila_ [Homo sapiens]
OG0000427	3	6183.Smp_016390.1, 6183.Smp_032150.1	19q13.43 charged multivesicular body protein 2A [Homo sapiens]
OG0000428	3	6183.Smp_016600.1, 6183.Smp_145980.2	11p13-p12 solute carrier family 1 _glial high affinity glutamate transporter__ member 2 [Homo sapiens]
OG0000430	3	6183.Smp_017810.1, 6183.Smp_167860.1	5p13.2 Nipped-B homolog _Drosophila_ [Homo sapiens]
OG0000431	3	6183.Smp_017890.1, 6183.Smp_152000.1	15q21.1 ubiquitin specific peptidase 8 [Homo sapiens]
OG0000432	3	6183.Smp_019040.1	2q14 transcription factor CP2-like 1 [Homo sapiens], 3p22.3 upstream binding protein 1 _LBP-1a_ [Homo sapiens]
OG0000433	3	6183.Smp_019170.1	12p13.33 lysine _K_-specific demethylase 5A [Homo sapiens], Xp11.22-p11.21 lysine _K_-specific demethylase 5C [Homo sapiens]
OG0000437	3	6183.Smp_020300.1, 6183.Smp_101630.1	3q27 dishevelled segment polarity protein 3 [Homo sapiens]
OG0000442	3	6183.Smp_022870.1, 6183.Smp_178740.1	4q21.22 lin-54 DREAM MuvB core complex component [Homo sapiens]
OG0000443	3	6183.Smp_023550.1, 6183.Smp_134000.1	3p21 catenin beta 1 [Homo sapiens]
OG0000444	3	6183.Smp_024140.4	2q37.1 nucleolin [Homo sapiens], 8q22.2-q23 poly_A_ binding protein_ cytoplasmic 1 [Homo sapiens]
OG0000445	3	6183.Smp_024520.1, 6183.Smp_094420.1	10p15 GDP dissociation inhibitor 2 [Homo sapiens]
OG0000446	3	6183.Smp_024660.1, 6183.Smp_204750.1	3p12.3 roundabout guidance receptor 2 [Homo sapiens]
OG0000449	3	6183.Smp_025690.1, 6183.Smp_178810.1	11p15.5 proteasome 26S subunit_ non-ATPase 13 [Homo sapiens]
OG0000452	3	6183.Smp_026830.1, 6183.Smp_145630.1	18q11.2 synovial sarcoma translocation_ chromosome 18 [Homo sapiens]
OG0000453	3	6183.Smp_027300.1	9q34.3 euchromatic histone-lysine N-methyltransferase 1 [Homo sapiens], Xp11.23 suppressor of variegation 3-9 homolog 1 [Homo sapiens]
OG0000454	3	6183.Smp_027550.1, 6183.Smp_167130.1	1p13 RNA binding motif protein 15 [Homo sapiens]
OG0000455	3	6183.Smp_027610.1, 6183.Smp_131450.1	11q13.3-q13.5 ribosomal protein S3 [Homo sapiens]
OG0000456	3	6183.Smp_027750.1, 6183.Smp_045250.1	20q13.31 cleavage stimulation factor_ 3' pre-RNA_ subunit 1 [Homo sapiens]
OG0000457	3	6183.Smp_028140.1	1p31.3 SH3-domain GRB2-like _endophilin_ interacting protein 1 [Homo sapiens], 5q13.2 FCH domain only 2 [Homo sapiens]
OG0000458	3	6183.Smp_028690.1, 6183.Smp_131890.1	Xq23 solute carrier family 6 _amino acid transporter__ member 14 [Homo sapiens]
OG0000462	3	6183.Smp_030860.1, 6183.Smp_162310.1	7q21 serrate_ RNA effector molecule [Homo sapiens]
OG0000464	3	6183.Smp_032000.1, 6183.Smp_141270.1	2q33-q34 CASP8 and FADD like apoptosis regulator [Homo sapiens]
OG0000466	3	6183.Smp_032480.1	3q22.2-q22.3 stromal antigen 1 [Homo sapiens], Xq25 stromal antigen 2 [Homo sapiens]
OG0000468	3	6183.Smp_033260.2	12q13.11 SUMO1/sentrin specific peptidase 1 [Homo sapiens], 3q28 SUMO1/sentrin/SMT3 specific peptidase 2 [Homo sapiens]
OG0000470	3	6183.Smp_034120.1, 6183.Smp_164210.1	20p12-p11.2 synaptosome associated protein 25kDa [Homo sapiens]
OG0000471	3	6183.Smp_034300.1	12p13 ets variant 6 [Homo sapiens], 1q32.2 E74-like factor 3 _ets domain transcription factor_ epithelial-specific _ [Homo sapiens]
OG0000472	3	6183.Smp_034840.2	17p13.3 tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein_ epsilon [Homo sapiens], 7q11.23 tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein_ gamma [Homo sapiens]
OG0000473	3	6183.Smp_035190.2, 6183.Smp_199010.1	2p21 SOS Ras/Rac guanine nucleotide exchange factor 1 [Homo sapiens]
OG0000474	3	6183.Smp_035200.4, 6183.Smp_210160.1	16q12.1 DnaJ heat shock protein family _Hsp40_ member A2 [Homo sapiens]
OG0000475	3	6183.Smp_035310.1	1p31.1 serine/arginine-rich splicing factor 11 [Homo sapiens], 5q11.2-q12.1 splicing regulatory glutamine/lysine-rich protein 1 [Homo sapiens]
OG0000478	3	6183.Smp_036590.1, 6183.Smp_138050.2	19p13.3 polypyrimidine tract binding protein 1 [Homo sapiens]
OG0000479	3	6183.Smp_037020.1, 6183.Smp_142100.1	5q31 transcription elongation regulator 1 [Homo sapiens]
OG0000480	3	6183.Smp_037400.1, 6183.Smp_134020.1	5q31 cell division cycle 23 [Homo sapiens]
OG0000484	3	6183.Smp_041760.1	15q26 chromodomain helicase DNA binding protein 2 [Homo sapiens], 5q15-q21 chromodomain helicase DNA binding protein 1 [Homo sapiens]
OG0000487	3	6183.Smp_042440.1, 6183.Smp_122050.1	1q21.3 ceramide synthase 2 [Homo sapiens]
OG0000488	3	6183.Smp_043610.1, 6183.Smp_052750.1	6q25-q27 Wilms tumor 1 associated protein [Homo sapiens]
OG0000489	3	6183.Smp_044470.1, 6183.Smp_077400.1	3q13.2 autophagy related 3 [Homo sapiens]
OG0000490	3	6183.Smp_044550.8	19p13.3 KH-type splicing regulatory protein [Homo sapiens], 1p31.1 far upstream element _FUSE_ binding protein 1 [Homo sapiens]
OG0000492	3	6183.Smp_045060.1, 6183.Smp_060170.1	20q13.31 ribonucleic acid export 1 [Homo sapiens]
OG0000493	3	6183.Smp_045260.1	3p21 5'-aminolevulinate synthase 1 [Homo sapiens], Xp11.21 5'-aminolevulinate synthase 2 [Homo sapiens]
OG0000494	3	6183.Smp_045710.1, 6183.Smp_053040.1	8p21.2 charged multivesicular body protein 7 [Homo sapiens]
OG0000495	3	6183.Smp_045760.1	14q23.1 tRNA methyltransferase 5 [Homo sapiens], 8q24.13 tRNA methyltransferase 12 homolog _S. cerevisiae_ [Homo sapiens]
OG0000496	3	6183.Smp_045950.2, 6183.Smp_050920.1	3q26.2-q27 transformer 2 beta homolog _Drosophila_ [Homo sapiens]
OG0000498	3	6183.Smp_047190.1	1p31.3 DnaJ heat shock protein family _Hsp40_ member C6 [Homo sapiens], 4p16 cyclin G associated kinase [Homo sapiens]
OG0000499	3	6183.Smp_047900.1	22q11.2 mitogen-activated protein kinase 1 [Homo sapiens], 6p21.3-p21.2 mitogen-activated protein kinase 14 [Homo sapiens]
OG0000501	3	6183.Smp_048660.1, 6183.Smp_053470.1	20p13 NOP56 ribonucleoprotein [Homo sapiens]
OG0000502	3	6183.Smp_049510.1, 6183.Smp_062970.1	2q21.1 WD repeat domain 33 [Homo sapiens]
OG0000503	3	6183.Smp_049730.2	11q12-q13.1 metastasis associated 1 family member 2 [Homo sapiens], 14q32.33 metastasis associated 1 [Homo sapiens]
OG0000504	3	6183.Smp_050160.1	1q25.3 ring finger protein 2 [Homo sapiens], 6p21.3 ring finger protein 1 [Homo sapiens]
OG0000506	3	6183.Smp_051230.1, 6183.Smp_051300.1	1p36.22 TAR DNA binding protein [Homo sapiens]
OG0000509	3	6183.Smp_053100.1	4q32.1 Rap guanine nucleotide exchange factor 2 [Homo sapiens], 5q31.1 Rap guanine nucleotide exchange factor 6 [Homo sapiens]
OG0000512	3	6183.Smp_055340.1, 6183.Smp_133660.1	1q42 lin-9 DREAM MuvB core complex component [Homo sapiens]
OG0000514	3	6183.Smp_056500.1, 6183.Smp_074500.2	1p34.2 proteasome subunit beta 2 [Homo sapiens]
OG0000517	3	6183.Smp_059340.1, 6183.Smp_092580.1	18p11.22-p11.21 guanine nucleotide binding protein _G protein__ alpha activating activity polypeptide_ olfactory type [Homo sapiens]
OG0000520	3	6183.Smp_062720.1	11q12 heterogeneous nuclear ribonucleoprotein U-like 2 [Homo sapiens], 1q44 heterogeneous nuclear ribonucleoprotein U _scaffold attachment factor A_ [Homo sapiens]
OG0000521	3	6183.Smp_063040.1	3q26.33 actin like 6A [Homo sapiens], 7q22 actin like 6B [Homo sapiens]
OG0000522	3	6183.Smp_063640.1	1p36.33 guanine nucleotide binding protein _G protein__ beta polypeptide 1 [Homo sapiens], 7q21.3-q22.1 guanine nucleotide binding protein _G protein__ beta polypeptide 2 [Homo sapiens]
OG0000523	3	6183.Smp_064650.1, 6183.Smp_178800.1	14q32.33 REST corepressor 1 [Homo sapiens]
OG0000525	3	6183.Smp_067420.1, 6183.Smp_210390.1	1q21.2 splicing factor 3b subunit 4 [Homo sapiens]
OG0000529	3	6183.Smp_068240.1, 6183.Smp_165420.1	4p16.3 huntingtin [Homo sapiens]
OG0000531	3	6183.Smp_068720.1, 6183.Smp_146810.1	Xq22 diaphanous related formin 2 [Homo sapiens]
OG0000532	3	6183.Smp_070340.1, 6183.Smp_160330.1	19p13.2 coactivator associated arginine methyltransferase 1 [Homo sapiens]
OG0000534	3	6183.Smp_070780.1, 6183.Smp_135100.1	Xq28 NAD_P_ dependent steroid dehydrogenase-like [Homo sapiens]
OG0000535	3	6183.Smp_071470.1	16q24.1 interferon regulatory factor 8 [Homo sapiens], 1q32.2-q32.3 interferon regulatory factor 6 [Homo sapiens]
OG0000537	3	6183.Smp_072720.1, 6183.Smp_105210.1	9q13-q21 zinc finger_ AN1-type domain 5 [Homo sapiens]
OG0000548	3	6183.Smp_075950.1, 6183.Smp_134860.1	12q24.23 GCN1_ eIF2 alpha kinase activator homolog [Homo sapiens]
OG0000552	3	6183.Smp_078050.1	1p36.11 WAS protein family member 2 [Homo sapiens], 6q21 WAS protein family member 1 [Homo sapiens]
OG0000555	3	6183.Smp_079290.1	11q13.2 RBM14-RBM4 readthrough [Homo sapiens], 11q13.2 RNA binding motif protein 14 [Homo sapiens]
OG0000559	3	6183.Smp_081260.1	2q11.2 inositol polyphosphate-4-phosphatase type I A [Homo sapiens], 4q31.1 inositol polyphosphate-4-phosphatase type II B [Homo sapiens]
OG0000560	3	6183.Smp_082690.1, 6183.Smp_154600.1	7q22 acetylcholinesterase _Yt blood group_ [Homo sapiens]
OG0000561	3	6183.Smp_082710.1	4q31.21 OTU deubiquitinase 4 [Homo sapiens], Xq23 ALG13_ UDP-N-acetylglucosaminyltransferase subunit [Homo sapiens]
OG0000563	3	6183.Smp_084090.1, 6183.Smp_148200.1	16q24.3 junctophilin 3 [Homo sapiens]
OG0000565	3	6183.Smp_089060.1	12q13.13 eukaryotic translation initiation factor 4B [Homo sapiens], 7q11.23 eukaryotic translation initiation factor 4H [Homo sapiens]
OG0000568	3	6183.Smp_089700.1	10p11.2 integrin subunit beta 1 [Homo sapiens], 7p15.3 integrin subunit beta 8 [Homo sapiens]
OG0000569	3	6183.Smp_093100.1	21q22.3 U2 small nuclear RNA auxiliary factor 1 [Homo sapiens], Xp22.1 zinc finger _CCCH type__ RNA binding motif and serine/arginine rich 2 [Homo sapiens]
OG0000570	3	6183.Smp_093280.1	5q31.1-q31.2 histone deacetylase 3 [Homo sapiens], Xq13 histone deacetylase 8 [Homo sapiens]
OG0000571	3	6183.Smp_093690.2, 6183.Smp_190120.1	12q13.11 DEAD _Asp-Glu-Ala-Asp_ box polypeptide 23 [Homo sapiens]
OG0000572	3	6183.Smp_093950.1, 6183.Smp_123620.1	Xp11.23 OTU deubiquitinase 5 [Homo sapiens]
OG0000576	3	6183.Smp_097020.1	17q21.2 F-box and leucine-rich repeat protein 20 [Homo sapiens], 4p15.33 F-box and leucine-rich repeat protein 5 [Homo sapiens]
OG0000577	3	6183.Smp_097110.1	22q13.33 bromodomain containing 1 [Homo sapiens], 3p26-p25 bromodomain and PHD finger containing 1 [Homo sapiens]
OG0000578	3	6183.Smp_097730.1, 6183.Smp_140200.1	6p21.1 serum response factor [Homo sapiens]
OG0000579	3	6183.Smp_097750.1, 6183.Smp_097800.3	1p34 Y-box binding protein 1 [Homo sapiens]
OG0000581	3	6183.Smp_098890.2	2p22.1 serine/arginine-rich splicing factor 7 [Homo sapiens], 6p21 serine/arginine-rich splicing factor 3 [Homo sapiens]
OG0000587	3	6183.Smp_102040.1, 6183.Smp_187870.1	5q35.3 guanine nucleotide binding protein _G protein__ beta polypeptide 2-like 1 [Homo sapiens]
OG0000588	3	6183.Smp_105910.1	16p13.3 CREB binding protein [Homo sapiens], 22q13.2 E1A binding protein p300 [Homo sapiens]
OG0000594	3	6183.Smp_113620.3, 6183.Smp_192360.1	19p13.2 eukaryotic translation initiation factor 3 subunit G [Homo sapiens]
OG0000595	3	6183.Smp_114280.1, 6183.Smp_138310.1	17q11.2 slingshot protein phosphatase 2 [Homo sapiens]
OG0000598	3	6183.Smp_118830.1	1p13.2 capping protein _actin filament_ muscle Z-line_ alpha 1 [Homo sapiens], 7q31.2-q31.3 capping protein _actin filament_ muscle Z-line_ alpha 2 [Homo sapiens]
OG0000599	3	6183.Smp_120640.1	11q12.2 cleavage and polyadenylation specific factor 7 [Homo sapiens], 12q15 cleavage and polyadenylation specific factor 6 [Homo sapiens]
OG0000600	3	6183.Smp_122830.1	12q23-q24.1 ataxin 2 [Homo sapiens], 16p11 ataxin 2-like [Homo sapiens]
OG0000601	3	6183.Smp_123420.1	15q25.1 aryl hydrocarbon receptor nuclear translocator 2 [Homo sapiens], 1q21 aryl hydrocarbon receptor nuclear translocator [Homo sapiens]
OG0000604	3	6183.Smp_124230.1, 6183.Smp_134090.1	15q15.1 RAD51 recombinase [Homo sapiens]
OG0000607	3	6183.Smp_125050.1, 6183.Smp_125340.1	9p22.2 PC4 and SFRS1 interacting protein 1 [Homo sapiens]
OG0000610	3	6183.Smp_126580.1, 6183.Smp_166910.1	10q22 potassium channel_ calcium activated large conductance subfamily M alpha_ member 1 [Homo sapiens]
OG0000611	3	6183.Smp_126720.1	3q21.3 ISY1 splicing factor homolog [Homo sapiens], 3q21.3 ISY1-RAB43 readthrough [Homo sapiens]
OG0000613	3	6183.Smp_128350.1	11q24.3 PR domain containing 10 [Homo sapiens], 6q21 PR domain containing 1_ with ZNF domain [Homo sapiens]
OG0000615	3	6183.Smp_129060.1, 6183.Smp_171630.1	19q13.33 solute carrier family 17 _vesicular glutamate transporter__ member 7 [Homo sapiens]
OG0000618	3	6183.Smp_130410.1, 6183.Smp_130420.1	3p23 dynein_ cytoplasmic 1_ light intermediate chain 1 [Homo sapiens]
OG0000619	3	6183.Smp_130470.1	14q11.2 chromodomain helicase DNA binding protein 8 [Homo sapiens], 8q12.2 chromodomain helicase DNA binding protein 7 [Homo sapiens]
OG0000621	3	6183.Smp_130900.1	2p12-p11.1 catenin alpha 2 [Homo sapiens], 5q31.2 catenin alpha 1 [Homo sapiens]
OG0000622	3	6183.Smp_130980.1, 6183.Smp_152760.1	14q32.2 cyclin K [Homo sapiens]
OG0000624	3	6183.Smp_131570.1	1p32.3 ubiquitin specific peptidase 24 [Homo sapiens], Xp11.4 ubiquitin specific peptidase 9_ X-linked [Homo sapiens]
OG0000625	3	6183.Smp_131700.1	14q23.1 protein kinase C_ eta [Homo sapiens], 2p21 protein kinase C_ epsilon [Homo sapiens]
OG0000626	3	6183.Smp_131800.1	2q24.3 serine/threonine kinase 39 [Homo sapiens], 3p22.2 oxidative stress responsive 1 [Homo sapiens]
OG0000627	3	6183.Smp_132170.1	19p13.3 lysine _K_-specific demethylase 4B [Homo sapiens], 1p34.1 lysine _K_-specific demethylase 4A [Homo sapiens]
OG0000628	3	6183.Smp_132270.1	12q13.13 poly_rC_ binding protein 2 [Homo sapiens], 17q21.32 insulin like growth factor 2 mRNA binding protein 1 [Homo sapiens]
OG0000629	3	6183.Smp_134140.1	19p13.2 phosphodiesterase 4A [Homo sapiens], 5q12 phosphodiesterase 4D [Homo sapiens]
OG0000633	3	6183.Smp_135790.1	21q22.1-q22.2 intersectin 1 [Homo sapiens], 7p15.2 src kinase associated phosphoprotein 2 [Homo sapiens]
OG0000636	3	6183.Smp_136660.1	5q31.2 neuregulin 2 [Homo sapiens], 8p12 neuregulin 1 [Homo sapiens]
OG0000638	3	6183.Smp_137020.1	17p13.3 phosphatidylinositol transfer protein alpha [Homo sapiens], 22q12.1 phosphatidylinositol transfer protein beta [Homo sapiens]
OG0000639	3	6183.Smp_137790.1	13q12.3 PDS5 cohesin associated factor B [Homo sapiens], 4p14 PDS5 cohesin associated factor A [Homo sapiens]
OG0000640	3	6183.Smp_137970.1	4q26-q27 jade family PHD finger 1 [Homo sapiens], 5q31.2 jade family PHD finger 2 [Homo sapiens]
OG0000641	3	6183.Smp_138180.1	18q21 methyl-CpG binding domain protein 2 [Homo sapiens], 19p13 methyl-CpG binding domain protein 3 [Homo sapiens]
OG0000643	3	6183.Smp_138500.1	12q24.1 G protein-coupled receptor kinase interacting ArfGAP 2 [Homo sapiens], 17p11.2 G protein-coupled receptor kinase interacting ArfGAP 1 [Homo sapiens]
OG0000645	3	6183.Smp_139110.1, 6183.Smp_154020.1	8p11.21 ankyrin 1 [Homo sapiens]
OG0000646	3	6183.Smp_139520.1, 6183.Smp_141030.1	12p12.3 epidermal growth factor receptor pathway substrate 8 [Homo sapiens]
OG0000647	3	6183.Smp_139800.1	18q11.2 Rho-associated_ coiled-coil containing protein kinase 1 [Homo sapiens], 2p24 Rho-associated_ coiled-coil containing protein kinase 2 [Homo sapiens]
