Orthogroup	Total	protein_mansoni	sequence_Saccharomyces cerevisiae
OG0000335	4	6183.Smp_091770.1, 6183.Smp_208010.1	NC_001142 Alpha subunit of Type II geranylgeranyltransferase required for vesicular transport between the endoplasmic reticulum and the Golgi; provides a membrane attachment moiety to Rab-like proteins Ypt1p and Sec4p [Saccharomyces cerevisiae], NC_001143 Alpha subunit of both the farnesyltransferase and type I geranylgeranyltransferase that catalyze prenylation of proteins containing a CAAX consensus motif; essential protein required for membrane localization of Ras proteins and a-factor [Saccharomyces cerevisiae]
OG0000349	4	6183.Smp_129590.1, 6183.Smp_158530.1, 6183.Smp_158540.1	NC_001136 Protein involved in transcription; interacts with RNA polymerase II subunits Rpb2p_ Rpb3_ and Rpb11p; has similarity to human RPAP1 [Saccharomyces cerevisiae]
OG0000351	4	6183.Smp_130340.1, 6183.Smp_150660.1	NC_001144 Phosphatidylinositol-4-kinase that functions in the Pkc1p protein kinase pathway; required for normal vacuole morphology_ cell wall integrity_ and actin cytoskeleton organization [Saccharomyces cerevisiae], NC_001146 Phosphatidylinositol 4-kinase; catalyzes first step in the biosynthesis of phosphatidylinositol-4_5-biphosphate; may control cytokineses through the actin cytoskeleton [Saccharomyces cerevisiae]
OG0000356	4	6183.Smp_134060.1, 6183.Smp_212490.1	NC_001136 Essential phosphoprotein component _p150_ of the COPII coat of secretory pathway vesicles_ in complex with Sec13p; required for ER-derived transport vesicle formation [Saccharomyces cerevisiae], NC_001144 Essential protein required for biogenesis of 40S _small_ ribosomal subunit; has similarity to the beta subunit of trimeric G-proteins and the splicing factor Prp4p [Saccharomyces cerevisiae]
OG0000357	4	6183.Smp_136970.1, 6183.Smp_173700.1	NC_001138 Subunit of the multiprotein cohesin complex_ essential protein involved in chromosome segregation and in double-strand DNA break repair; SMC chromosomal ATPase family member_ binds DNA with a preference for DNA with secondary structure [Saccharomyces cerevisiae], NC_001144 Subunit of the condensin complex; reorganizes chromosomes during cell division; forms a complex with Smc2p that has ATP-hydrolyzing and DNA-binding activity; required for tRNA gene clustering at the nucleolus; potential Cdc28p substrate [Saccharomyces cerevisiae]
OG0000362	4	6183.Smp_145260.1, 6183.Smp_171710.1	NC_001138 Subunit of the condensin complex; essential SMC chromosomal ATPase family member that forms a complex with Smc4p to form the active ATPase; Smc2p/Smc4p complex binds DNA; required for clustering of tRNA genes at the nucleolus [Saccharomyces cerevisiae], NC_001142 Subunit of the multiprotein cohesin complex required for sister chromatid cohesion in mitotic cells; also required_ with Rec8p_ for cohesion and recombination during meiosis; phylogenetically conserved SMC chromosomal ATPase family member [Saccharomyces cerevisiae]
OG0000368	3	6183.Smp_000030.1, 6183.Smp_175250.1	NC_001141 Subunit of the 26S proteasome_ substrate of the N-acetyltransferase Nat1p [Saccharomyces cerevisiae]
OG0000373	3	6183.Smp_000600.1, 6183.Smp_018400.1	NC_001135 WD-repeat protein involved in ribosome biogenesis; may interact with ribosomes; required for maturation and efficient intra-nuclear transport or pre-60S ribosomal subunits_ localizes to the nucleolus [Saccharomyces cerevisiae]
OG0000375	3	6183.Smp_001360.1, 6183.Smp_032810.1	NC_001142 Thymidylate and uridylate kinase_ functions in de novo biosynthesis of pyrimidine deoxyribonucleotides; converts dTMP to dTDP and dUMP to dUTP; essential for mitotic and meiotic DNA replication; homologous to S. pombe Tmp1p [Saccharomyces cerevisiae]
OG0000376	3	6183.Smp_001830.1, 6183.Smp_153950.1	NC_001144 Essential protein with similarity to Rpl24Ap and Rpl24Bp_ associated with pre-60S ribosomal subunits and required for ribosomal large subunit biogenesis [Saccharomyces cerevisiae]
OG0000379	3	6183.Smp_003620.1, 6183.Smp_060070.1	NC_001144 Component of the septin ring of the mother-bud neck that is required for cytokinesis; septins recruit proteins to the neck and can act as a barrier to diffusion at the membrane_ and they comprise the 10nm filaments seen with EM [Saccharomyces cerevisiae]
OG0000380	3	6183.Smp_003630.1, 6183.Smp_161960.1	NC_001136 Subunit of the SF3a splicing factor complex_ required for spliceosome assembly; acts after the formation of the U1 snRNP-pre-mRNA complex [Saccharomyces cerevisiae]
OG0000381	3	6183.Smp_004020.1, 6183.Smp_024490.1	NC_001147 Subunit of heteropentameric Replication factor C _RF-C__ which is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen _PCNA_ processivity factor for DNA polymerases delta and epsilon [Saccharomyces cerevisiae]
OG0000387	3	6183.Smp_005330.1, 6183.Smp_040770.1	NC_001139 Methionyl-tRNA synthetase_ forms a complex with glutamyl-tRNA synthetase _Gus1p_ and Arc1p_ which increases the catalytic efficiency of both tRNA synthetases; also has a role in nuclear export of tRNAs [Saccharomyces cerevisiae]
OG0000397	3	6183.Smp_010140.1, 6183.Smp_083150.1	NC_001139 Essential protein involved in rRNA and snoRNA maturation; competes with TLC1 RNA for binding to Est2p_ suggesting a role in negative regulation of telomerase; human homolog inhibits telomerase; contains a G-patch RNA interacting domain [Saccharomyces cerevisiae]
OG0000400	3	6183.Smp_010690.1, 6183.Smp_127830.1	NC_001146 Subunit of the ARP2/3 complex_ which is required for the motility and integrity of cortical actin patches; required for cortical localization of calmodulin [Saccharomyces cerevisiae]
OG0000408	3	6183.Smp_015440.1, 6183.Smp_176270.1	NC_001144 cis-Golgi t-SNARE syntaxin required for vesicular transport between the ER and the Golgi complex_ binds at least 9 SNARE proteins [Saccharomyces cerevisiae]
OG0000411	3	6183.Smp_016410.1	NC_001136 Ran GTPase binding protein; involved in nuclear protein import and RNA export_ ubiquitin-mediated protein degradation during the cell cycle; shuttles between the nucleus and cytoplasm; is essential; homolog of human RanBP1 [Saccharomyces cerevisiae], NC_001141 Protein of unknown function involved in nuclear processes of the Ran-GTPase cycle; involved in nuclear protein export; contains Ran Binding Domain and FxFG repeats; interacts with Srm1p_ GTP-Gsp1p_ Rna1p and Crm1p; is not essential [Saccharomyces cerevisiae]
OG0000413	3	6183.Smp_017810.1, 6183.Smp_167860.1	NC_001136 Subunit of cohesin loading factor _Scc2p-Scc4p__ a complex required for loading of cohesin complexes onto chromosomes; involved in establishing sister chromatid cohesion during DSB repair via histone H2AX; evolutionarily-conserved adherin [Saccharomyces cerevisiae]
OG0000414	3	6183.Smp_017860.1, 6183.Smp_164840.1	NC_001148 Beta 5 subunit of the 20S proteasome_ responsible for the chymotryptic activity of the proteasome [Saccharomyces cerevisiae]
OG0000425	3	6183.Smp_025690.1, 6183.Smp_178810.1	NC_001136 Non-ATPase regulatory subunit of the 26S proteasome_ has similarity to putative proteasomal subunits in other species; null mutant is temperature sensitive and exhibits cell cycle and proteasome assembly defects [Saccharomyces cerevisiae]
OG0000429	3	6183.Smp_027610.1, 6183.Smp_131450.1	NC_001146 Protein component of the small _40S_ ribosomal subunit_ has apurinic/apyrimidinic _AP_ endonuclease activity; essential for viability; has similarity to E. coli S3 and rat S3 ribosomal proteins [Saccharomyces cerevisiae]
OG0000431	3	6183.Smp_027890.1	NC_001139 Essential nucleoporin_ catalyzes its own cleavage in vivo to generate a C-terminal fragment that assembles into the Nup84p subcomplex of the nuclear pore complex_ and an N-terminal fragment of unknown function that is homologous to Nup100p [Saccharomyces cerevisiae], NC_001145 Subunit of the nuclear pore complex _NPC_ that is localized to both sides of the pore; contains a repetitive GLFG motif that interacts with mRNA export factor Mex67p and with karyopherin Kap95p; homologous to Nup100p [Saccharomyces cerevisiae]
OG0000432	3	6183.Smp_028100.1, 6183.Smp_041390.1	NC_001136 Ubiquitin-conjugating enzyme _E2_ and catalytic subunit of SCF ubiquitin-protein ligase complex _together with Skp1p_ Rbx1p_ Cdc53p_ and an F-box protein_ that regulates cell cycle progression by targeting key substrates for degradation [Saccharomyces cerevisiae]
OG0000442	3	6183.Smp_033260.2	NC_001141 Peptidase that deconjugates Smt3/SUMO-1 peptides from proteins_ plays a role in chromosome cohesion at centromeric regions and recovery from checkpoint arrest induced by DNA damage or DNA replication defects; potential Cdc28p substrate [Saccharomyces cerevisiae], NC_001148 Ubl _ubiquitin-like protein_-specific protease that cleaves Smt3p protein conjugates; specifically required for cell cycle progression; associates with nucleoporins and may interact with septin rings during telophase [Saccharomyces cerevisiae]
OG0000444	3	6183.Smp_034190.1	NC_001136 Nucleolar protein required for maturation of 18S rRNA_ member of the eIF4A subfamily of DEAD-box ATP-dependent RNA helicases [Saccharomyces cerevisiae], NC_001147 Cytoplasmic ATP-dependent RNA helicase of the DEAD-box family involved in mRNA export from the nucleus; involved in translation termination [Saccharomyces cerevisiae]
OG0000451	3	6183.Smp_040540.1	NC_001137 ATPase of the ATP-binding cassette _ABC_ family involved in 40S and 60S ribosome biogenesis_ has similarity to Gcn20p; shuttles from nucleus to cytoplasm_ physically interacts with Tif6p_ Lsg1p [Saccharomyces cerevisiae], NC_001144 Translational elongation factor 3_ stimulates the binding of aminoacyl-tRNA _AA-tRNA_ to ribosomes by releasing EF-1 alpha from the ribosomal complex; contains two ABC cassettes; binds and hydrolyses ATP [Saccharomyces cerevisiae]
OG0000454	3	6183.Smp_046060.1	NC_001140 Type II myosin heavy chain_ required for wild-type cytokinesis and cell separation; localizes to the actomyosin ring; binds to myosin light chains Mlc1p and Mlc2p through its IQ1 and IQ2 motifs respectively [Saccharomyces cerevisiae], NC_001147 One of two type V myosin motors _along with MYO4_ involved in actin-based transport of cargos; required for the polarized delivery of secretory vesicles_ the vacuole_ late Golgi elements_ peroxisomes_ and the mitotic spindle [Saccharomyces cerevisiae]
OG0000456	3	6183.Smp_047860.1, 6183.Smp_084340.1	NC_001147 DRAP deaminase_ catalyzes the third step of the riboflavin biosynthesis pathway; cytoplasmic tRNA pseudouridine synthase involved in pseudouridylation of cytoplasmic tRNAs at position 32 [Saccharomyces cerevisiae]
OG0000464	3	6183.Smp_053780.1, 6183.Smp_053790.1	NC_001142 Subunit of tRNA-specific adenosine-34 deaminase_ forms a heterodimer with Tad3p that converts adenosine to inosine at the wobble position of several tRNAs [Saccharomyces cerevisiae]
OG0000466	3	6183.Smp_054790.2, 6183.Smp_176010.1	NC_001144 Microtubule-associated protein _MAP_ of the XMAP215/Dis1 family; regulates microtubule dynamics during spindle orientation and metaphase chromosome alignment; interacts with spindle pole body component Spc72p [Saccharomyces cerevisiae]
OG0000471	3	6183.Smp_061250.1, 6183.Smp_137000.1	NC_001134 Mitochondrial pyrimidine nucleotide transporter; imports pyrimidine nucleoside triphosphates and exports pyrimidine nucleoside monophosphates; member of the mitochondrial carrier family [Saccharomyces cerevisiae]
OG0000476	3	6183.Smp_065610.1, 6183.Smp_156360.1	NC_001133 Pyruvate kinase_ functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate_ the input for aerobic _TCA cycle_ or anaerobic _glucose fermentation_ respiration [Saccharomyces cerevisiae]
OG0000480	3	6183.Smp_067810.1, 6183.Smp_141380.1	NC_001148 Protein kinase involved in regulating diverse events including vesicular trafficking_ DNA repair_ and chromosome segregation; binds the CTD of RNA pol II; homolog of mammalian casein kinase 1delta _CK1delta_ [Saccharomyces cerevisiae]
OG0000489	3	6183.Smp_073620.1, 6183.Smp_129210.1	NC_001139 Cytoplasmic tyrosyl-tRNA synthetase_ required for cytoplasmic protein synthesis; interacts with positions 34 and 35 of the tRNATyr anticodon; mutations in human ortholog YARS are associated with Charcot-Marie-Tooth _CMT_ neuropathies [Saccharomyces cerevisiae]
OG0000492	3	6183.Smp_075060.1, 6183.Smp_162660.1	NC_001140 Glutamine-dependent NAD_+_ synthetase_ essential for the formation of NAD_+_ from nicotinic acid adenine dinucleotide [Saccharomyces cerevisiae]
OG0000498	3	6183.Smp_077020.1, 6183.Smp_162620.1	NC_001148 Essential 18S rRNA dimethylase _dimethyladenosine transferase__ responsible for conserved m6_2_Am6_2_A dimethylation in 3'-terminal loop of 18S rRNA_ part of 90S and 40S pre-particles in nucleolus_ involved in pre-ribosomal RNA processing [Saccharomyces cerevisiae]
OG0000500	3	6183.Smp_078040.1, 6183.Smp_192110.1	NC_001138 Beta-tubulin; associates with alpha-tubulin _Tub1p and Tub3p_ to form tubulin dimer_ which polymerizes to form microtubules [Saccharomyces cerevisiae]
OG0000503	3	6183.Smp_079730.1, 6183.Smp_170230.1	NC_001139 Cleavage and polyadenylation factor I _CF I_ component involved in cleavage and polyadenylation of mRNA 3' ends; interacts with the A-rich polyadenylation signal in complex with Rna14p and Hrp1p [Saccharomyces cerevisiae]
OG0000507	3	6183.Smp_082490.1	NC_001136 B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2_ then targeted for ubiquitin-mediated degradation [Saccharomyces cerevisiae], NC_001148 B-type cyclin involved in DNA replication during S phase; activates Cdc28p to promote initiation of DNA synthesis; functions in formation of mitotic spindles along with Clb3p and Clb4p; most abundant during late G1 phase [Saccharomyces cerevisiae]
OG0000509	3	6183.Smp_084380.1, 6183.Smp_211110.1	NC_001144 Putative endoribonuclease_ subunit of the mRNA cleavage and polyadenylation specificity complex; required for 3' processing_ splicing_ and transcriptional termination of mRNAs and snoRNAs [Saccharomyces cerevisiae]
OG0000510	3	6183.Smp_087810.1	NC_001137 GTPase that associates with nuclear 60S pre-ribosomes_ required for export of 60S ribosomal subunits from the nucleus [Saccharomyces cerevisiae], NC_001146 Putative GTPase that associates with pre-60S ribosomal subunits in the nucleolus and is required for their nuclear export and maturation [Saccharomyces cerevisiae]
OG0000512	3	6183.Smp_091300.1, 6183.Smp_113660.1	NC_001144 Component of the U1 snRNP complex required for pre-mRNA splicing; putative ortholog of human U1C protein_ which is involved in formation of a complex between U1 snRNP and the pre-mRNA 5' splice site [Saccharomyces cerevisiae]
OG0000517	3	6183.Smp_096450.1, 6183.Smp_143140.1	NC_001143 GTPase component of U5 snRNP involved in mRNA splicing via spliceosome; binds directly to U5 snRNA; proposed to be involved in conformational changes of the spliceosome; similarity to ribosomal translocation factor EF-2 [Saccharomyces cerevisiae]
OG0000525	3	6183.Smp_103570.1	NC_001146 Serine/threonine protein kinase that regulates cell morphogenesis pathways; involved in cell wall biosynthesis_ apical growth_ proper mating projection morphology_ bipolar bud site selection in diploid cells_ and cell separation [Saccharomyces cerevisiae], NC_001148 Ser/Thr kinase involved in late nuclear division_ one of the mitotic exit network _MEN_ proteins; necessary for the execution of cytokinesis [Saccharomyces cerevisiae]
OG0000527	3	6183.Smp_105700.1, 6183.Smp_156920.1	NC_001137 RNA-dependent ATPase RNA helicase _DEIH box_; required for disruption of U4/U6 base-pairing in native snRNPs to activate the spliceosome for catalysis; homologous to human U5-200kD [Saccharomyces cerevisiae]
OG0000535	3	6183.Smp_121130.1, 6183.Smp_149320.1	NC_001142 Mitochondrial succinate-fumarate transporter_ transports succinate into and fumarate out of the mitochondrion; required for ethanol and acetate utilization [Saccharomyces cerevisiae]
OG0000536	3	6183.Smp_122890.1, 6183.Smp_126910.1	NC_001135 Conserved 90S pre-ribosomal component essential for proper endonucleolytic cleavage of the 35 S rRNA precursor at A0_ A1_ and A2 sites; contains eight WD-repeats; PWP2 deletion leads to defects in cell cycle and bud morphogenesis [Saccharomyces cerevisiae]
OG0000543	3	6183.Smp_128740.1	NC_001140 Member of the Sec24p family; forms a complex_ with Sec23p_ that is involved in sorting of Pma1p into COPII vesicles; peripheral ER membrane protein; potential Cdc28p substrate [Saccharomyces cerevisiae], NC_001141 Component of the Sec23p-Sec24p heterodimeric complex of the COPII vesicle coat; involved in ER to Golgi transport_ cargo selection and autophagy; required for the binding of the Sec13 complex to ER membranes; homologous to Lst1p and Lss1p [Saccharomyces cerevisiae]
OG0000545	3	6183.Smp_129760.1	NC_001137 Lsm _Like Sm_ protein; part of heteroheptameric complexes _Lsm2p-7p and either Lsm1p or 8p__ cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA_ snoRNA_ and rRNA [Saccharomyces cerevisiae], NC_001147 Core Sm protein Sm E; part of heteroheptameric complex _with Smb1p_ Smd1p_ Smd2p_ Smd3p_ Smx3p_ and Smx2p_ that is part of the spliceosomal U1_ U2_ U4_ and U5 snRNPs; homolog of human Sm E [Saccharomyces cerevisiae]
OG0000549	3	6183.Smp_131640.1, 6183.Smp_154730.1	NC_001147 Subunit of cleavage factor I_ a five-subunit complex required for the cleavage and polyadenylation of pre-mRNA 3' ends; RRM-containing heteronuclear RNA binding protein and hnRNPA/B family member that binds to poly _A_ signal sequences [Saccharomyces cerevisiae]
OG0000550	3	6183.Smp_131870.1, 6183.Smp_146400.1	NC_001136 Sm-like protein involved in docking and fusion of exocytic vesicles through binding to assembled SNARE complexes at the membrane; localization to sites of secretion _bud neck and bud tip_ is dependent on SNARE function [Saccharomyces cerevisiae]
OG0000552	3	6183.Smp_135360.1	NC_001140 Ser/thr protein kinase; nuclear translocation required for haploid filamentous growth; regulates filamentous growth induced nuclear translocation of Bcy1p_ Fus3p_ and Sks1p; overproduction causes allele-specific suppression of prp20-10 [Saccharomyces cerevisiae], NC_001148 Aurora kinase subunit of the conserved chromosomal passenger complex _CPC; Ipl1p-Sli15p-Bir1p-Nbl1p__ involved in regulating kinetochore-microtubule attachments; helps maintain condensed chromosomes during anaphase and early telophase [Saccharomyces cerevisiae]
OG0000567	3	6183.Smp_148050.1	NC_001139 Glutamyl-tRNA synthetase _GluRS__ forms a complex with methionyl-tRNA synthetase _Mes1p_ and Arc1p; complex formation increases the catalytic efficiency of both tRNA synthetases and ensures their correct localization to the cytoplasm [Saccharomyces cerevisiae], NC_001147 Glutamine tRNA synthetase_ monomeric class I tRNA synthetase that catalyzes the specific glutaminylation of tRNA_Glu_; N-terminal domain proposed to be involved in enzyme-tRNA interactions [Saccharomyces cerevisiae]
OG0000569	3	6183.Smp_148480.1, 6183.Smp_175430.1	NC_001136 RNA-binding subunit of the mRNA cleavage and polyadenylation factor; involved in poly_A_ site recognition and required for both pre-mRNA cleavage and polyadenylation_ 51% sequence similarity with mammalian AAUAA-binding subunit of CPSF [Saccharomyces cerevisiae]
OG0000570	3	6183.Smp_150160.1	NC_001139 Beta subunit of geranylgeranyltransferase type I_ catalyzes geranylgeranylation to the cysteine residue in proteins containing a C-terminal CaaX sequence ending in Leu or Phe; has substrates important for morphogenesis [Saccharomyces cerevisiae], NC_001148 Beta subunit of Type II geranylgeranyltransferase required for vesicular transport between the endoplasmic reticulum and the Golgi; provides a membrane attachment moiety to Rab-like proteins Ypt1p and Sec4p [Saccharomyces cerevisiae]
OG0000574	3	6183.Smp_151180.1, 6183.Smp_210840.1	NC_001143 Subunit of the COMPASS _Set1C_ complex_ which methylates histone H3 on lys 4 and is involved in telomeric silencing; subunit of CPF _cleavage and polyadenylation factor__ a complex involved in RNAP II transcription termination [Saccharomyces cerevisiae]
OG0000587	3	6183.Smp_161460.1, 6183.Smp_163030.1	NC_001139 Splicing factor_ component of the U4/U6-U5 snRNP complex [Saccharomyces cerevisiae]
OG0000591	3	6183.Smp_166070.1, 6183.Smp_176690.1	NC_001144 Membrane bound guanine nucleotide exchange factor _GEF or GDP-release factor_; indirectly regulates adenylate cyclase through activation of Ras1p and Ras2p by stimulating the exchange of GDP for GTP; required for progression through G1 [Saccharomyces cerevisiae]
OG0000597	3	6183.Smp_210380.1	NC_001139 Essential iron-sulfur cluster binding protein localized in the cytoplasm; forms a complex with Cfd1p that is involved in iron-sulfur protein assembly in the cytosol; similar to P-loop NTPases [Saccharomyces cerevisiae], NC_001141 Highly conserved_ iron-sulfur cluster binding protein localized in the cytoplasm; forms a complex with Nbp35p that is involved in iron-sulfur protein assembly in the cytosol [Saccharomyces cerevisiae]
OG0000601	2	6183.Smp_000110.1	NC_001146 Cytoplasmic GTPase involved in biogenesis of the 60S ribosome; has similarity to translation elongation factor 2 _Eft1p and Eft2p_ [Saccharomyces cerevisiae]
OG0000606	2	6183.Smp_000480.1	NC_001145 Subunit of the eukaryotic translation initiation factor 3 _eIF3__ involved in the assembly of preinitiation complex and start codon selection [Saccharomyces cerevisiae]
OG0000608	2	6183.Smp_000510.1	NC_001136 GDP-mannose pyrophosphorylase _mannose-1-phosphate guanyltransferase__ synthesizes GDP-mannose from GTP and mannose-1-phosphate in cell wall biosynthesis; required for normal cell wall structure [Saccharomyces cerevisiae]
OG0000613	2	6183.Smp_001170.1	NC_001134 Subunit of the core complex of translation initiation factor 3_eIF3__ essential for translation; part of a subcomplex _Prt1p-Rpg1p-Nip1p_ that stimulates binding of mRNA and tRNA_i_Met to ribosomes [Saccharomyces cerevisiae]
OG0000614	2	6183.Smp_002010.1	NC_001144 Member of the alpha/beta knot fold methyltransferase superfamily; required for maturation of 18S rRNA and for 40S ribosome production; interacts with RNA and with S-adenosylmethionine; associates with spindle/microtubules; forms homodimers [Saccharomyces cerevisiae]
OG0000615	2	6183.Smp_002160.1	NC_001139 Component of the Swr1p complex that incorporates Htz1p into chromatin; component of the NuA4 histone acetyltransferase complex [Saccharomyces cerevisiae]
OG0000616	2	6183.Smp_002230.1	NC_001136 Nucleolar protein involved in pre-rRNA processing; depletion causes severely decreased 18S rRNA levels [Saccharomyces cerevisiae]
OG0000621	2	6183.Smp_003410.1	NC_001147 Primary rRNA-binding ribosomal protein component of the large _60S_ ribosomal subunit_ has similarity to E. coli L23 and rat L23a ribosomal proteins; binds to 26S rRNA via a conserved C-terminal motif [Saccharomyces cerevisiae]
OG0000622	2	6183.Smp_003660.1	NC_001136 Component of the TREX complex required for nuclear mRNA export; member of the DEAD-box RNA helicase superfamily and is involved in early and late steps of spliceosome assembly; homolog of the human splicing factor hUAP56 [Saccharomyces cerevisiae]
OG0000624	2	6183.Smp_003990.1	NC_001136 Triose phosphate isomerase_ abundant glycolytic enzyme; mRNA half-life is regulated by iron availability; transcription is controlled by activators Reb1p_ Gcr1p_ and Rap1p through binding sites in the 5' non-coding region [Saccharomyces cerevisiae]
OG0000626	2	6183.Smp_004060.1	NC_001139 Cell-cycle regulated activator of anaphase-promoting complex/cyclosome _APC/C__ which is required for metaphase/anaphase transition; directs ubiquitination of mitotic cyclins_ Pds1p_ and other anaphase inhibitors; potential Cdc28p substrate [Saccharomyces cerevisiae]
OG0000629	2	6183.Smp_004600.1	NC_001136 Subunit of the cytosolic chaperonin Cct ring complex_ related to Tcp1p_ required for the assembly of actin and tubulins in vivo [Saccharomyces cerevisiae]
OG0000630	2	6183.Smp_004640.1	NC_001148 RNA polymerase subunit_ common to RNA polymerase I and III [Saccharomyces cerevisiae]
OG0000632	2	6183.Smp_004990.1	NC_001136 Subunit of the cytosolic chaperonin Cct ring complex_ related to Tcp1p_ essential protein that is required for the assembly of actin and tubulins in vivo; contains an ATP-binding motif [Saccharomyces cerevisiae]
OG0000633	2	6183.Smp_005010.1	NC_001134 Mannosyltransferase_ involved in asparagine-linked glycosylation in the endoplasmic reticulum _ER_; essential for viability_ mutation is functionally complemented by human ortholog [Saccharomyces cerevisiae]
OG0000634	2	6183.Smp_005080.1	NC_001146 Probable RNA m_5_C methyltransferase_ essential for processing and maturation of 27S pre-rRNA and large ribosomal subunit biogenesis; localized to the nucleolus; constituent of 66S pre-ribosomal particles [Saccharomyces cerevisiae]
OG0000635	2	6183.Smp_005180.1	NC_001136 Translation termination factor eRF3; altered protein conformation creates the [PSI_+_] prion_ a dominant cytoplasmically inherited protein aggregate that alters translational fidelity and creates a nonsense suppressor phenotype [Saccharomyces cerevisiae]
OG0000637	2	6183.Smp_006190.1	NC_001146 Catalytic subunit of the Dcp1p-Dcp2p decapping enzyme complex_ which removes the 5' cap structure from mRNAs prior to their degradation; member of the Nudix hydrolase family [Saccharomyces cerevisiae]
OG0000641	2	6183.Smp_006850.1	NC_001147 RNA polymerase subunit ABC14.5_ common to RNA polymerases I_ II_ and III [Saccharomyces cerevisiae]
OG0000643	2	6183.Smp_007000.1	NC_001136 Subunit of the GINS complex _Sld5p_ Psf1p_ Psf2p_ Psf3p__ which is localized to DNA replication origins and implicated in assembly of the DNA replication machinery [Saccharomyces cerevisiae]
OG0000645	2	6183.Smp_007170.1	NC_001143 Component of the RAM signaling network that is involved in regulation of Ace2p activity and cellular morphogenesis_ interacts with Kic1p and Sog2p_ localizes to sites of polarized growth during budding and during the mating response [Saccharomyces cerevisiae]
OG0000647	2	6183.Smp_007540.1	NC_001146 Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; predicted to contain an S1 RNA binding domain; has similarity to human hCsl4p _EXOSC1_ [Saccharomyces cerevisiae]
OG0000650	2	6183.Smp_007970.1	NC_001144 Essential protein involved in 60S ribosome maturation; ortholog of the human protein _SBDS_ responsible for autosomal recessive Shwachman-Bodian-Diamond Syndrome; highly conserved across archae and eukaryotes [Saccharomyces cerevisiae]
OG0000651	2	6183.Smp_008120.1	NC_001140 Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation [Saccharomyces cerevisiae]
OG0000655	2	6183.Smp_008440.1	NC_001147 RNA polymerase subunit ABC10-beta_ common to RNA polymerases I_ II_ and III [Saccharomyces cerevisiae]
OG0000658	2	6183.Smp_008500.2	NC_001148 Protein that interacts with Spt6p and copurifies with Spt5p and RNA polymerase II_ probable transcriptional elongation factor; metazoan homologs contain an acidic N terminus; mutations in the gene confer an Spt- phenotype [Saccharomyces cerevisiae]
OG0000659	2	6183.Smp_008545.1	NC_001144 Tetradecameric mitochondrial chaperonin required for ATP-dependent folding of precursor polypeptides and complex assembly; prevents aggregation and mediates protein refolding after heat shock; role in mtDNA transmission; phosphorylated [Saccharomyces cerevisiae]
OG0000664	2	6183.Smp_009650.1	NC_001144 Smaller subunit of the mitochondrial processing protease _MPP__ essential processing enzyme that cleaves the N-terminal targeting sequences from mitochondrially imported proteins [Saccharomyces cerevisiae]
OG0000665	2	6183.Smp_009690.1	NC_001144 Conserved ribosomal protein P0 similar to rat P0_ human P0_ and E. coli L10e; shown to be phosphorylated on serine 302 [Saccharomyces cerevisiae]
OG0000674	2	6183.Smp_011230.1	NC_001136 ER membrane glycoprotein subunit of the glycosylphosphatidylinositol transamidase complex that adds glycosylphosphatidylinositol _GPI_ anchors to newly synthesized proteins; human PIG-K protein is a functional homolog [Saccharomyces cerevisiae]
OG0000675	2	6183.Smp_011720.1	NC_001148 Component of the SF3b subcomplex of the U2 snRNP_ zinc cluster protein involved in pre-mRNA splicing and cycloheximide resistance [Saccharomyces cerevisiae]
OG0000676	2	6183.Smp_012110.1	NC_001139 Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hRrp41p _EXOSC4_ [Saccharomyces cerevisiae]
OG0000677	2	6183.Smp_012340.1	NC_001145 Subunit of U3-containing Small Subunit _SSU_ processome complex involved in production of 18S rRNA and assembly of small ribosomal subunit [Saccharomyces cerevisiae]
OG0000678	2	6183.Smp_012450.1	NC_001143 Putative glycoprotease proposed to be in transcription as a component of the EKC protein complex with Bud32p_ Cgi121p_ Pcc1p_ and Gon7p; also identified as a component of the KEOPS protein complex [Saccharomyces cerevisiae]
OG0000679	2	6183.Smp_012470.1	NC_001143 One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation of ubiquitinated substrates; required for optimal CDC20 transcription; interacts with Rpn12p and the E3 ubiquitin-protein ligase Ubr1p [Saccharomyces cerevisiae]
OG0000680	2	6183.Smp_012860.1	NC_001146 Subunit of tRNA _1-methyladenosine_ methyltransferase with Gcd14p_ required for the modification of the adenine at position 58 in tRNAs_ especially tRNAi-Met; first identified as a negative regulator of GCN4 expression [Saccharomyces cerevisiae]
OG0000682	2	6183.Smp_013150.1	NC_001136 Riboflavin kinase_ phosphorylates riboflavin to form riboflavin monophosphate _FMN__ which is a necessary cofactor for many enzymes; localizes to microsomes and to the mitochondrial inner membrane [Saccharomyces cerevisiae]
