Orthogroup	protein_mansoni	sequence_Saccharomyces cerevisiae
OG0000195	6183.Smp_000150.1, 6183.Smp_123390.1, 6183.Smp_131320.1, 6183.Smp_131550.1, 6183.Smp_137110.1	
OG0000196	6183.Smp_001030.1, 6183.Smp_127420.1, 6183.Smp_142030.1, 6183.Smp_144700.1, 6183.Smp_212370.1	
OG0000197	6183.Smp_001070.1, 6183.Smp_023710.1, 6183.Smp_041880.1, 6183.Smp_117340.1, 6183.Smp_134960.1	
OG0000198	6183.Smp_002410.1, 6183.Smp_009760.1, 6183.Smp_009780.2, 6183.Smp_034840.2, 6183.Smp_041430.1	
OG0000199	6183.Smp_004470.1, 6183.Smp_059480.1, 6183.Smp_062900.1, 6183.Smp_093780.1, 6183.Smp_158110.2	
OG0000200	6183.Smp_005500.1, 6183.Smp_057620.1, 6183.Smp_136920.1, 6183.Smp_139230.1, 6183.Smp_159490.1	
OG0000201	6183.Smp_007630.1, 6183.Smp_019690.1, 6183.Smp_064590.1, 6183.Smp_078240.1, 6183.Smp_089060.1	
OG0000202	6183.Smp_008260.1, 6183.Smp_100360.1, 6183.Smp_125310.1, 6183.Smp_135200.1, 6183.Smp_155720.1	
OG0000203	6183.Smp_009800.1, 6183.Smp_097940.1, 6183.Smp_166540.1, 6183.Smp_176970.1, 6183.Smp_177920.1	
OG0000204	6183.Smp_013440.1, 6183.Smp_139720.1, 6183.Smp_166790.1, 6183.Smp_167630.1, 6183.Smp_210210.1	
OG0000205	6183.Smp_014080.1, 6183.Smp_060210.1, 6183.Smp_060220.1, 6183.Smp_060240.1, 6183.Smp_203810.1	
OG0000206	6183.Smp_014410.2, 6183.Smp_014430.1, 6183.Smp_121580.1, 6183.Smp_188810.1, 6183.Smp_194540.1	
OG0000207	6183.Smp_015630.1, 6183.Smp_096480.1, 6183.Smp_099500.1, 6183.Smp_104890.1, 6183.Smp_176730.1	
OG0000208	6183.Smp_016680.1, 6183.Smp_125630.1, 6183.Smp_131260.1, 6183.Smp_142600.1, 6183.Smp_148190.1	
OG0000209	6183.Smp_019460.1, 6183.Smp_132790.1, 6183.Smp_132800.1, 6183.Smp_132810.1, 6183.Smp_132830.1	
OG0000210	6183.Smp_020040.2, 6183.Smp_147870.1, 6183.Smp_148510.1, 6183.Smp_169320.1, 6183.Smp_196270.1	
OG0000211	6183.Smp_020550.1, 6183.Smp_146950.1, 6183.Smp_159420.1, 6183.Smp_179370.1, 6183.Smp_208030.1	
OG0000212	6183.Smp_024670.1, 6183.Smp_055090.1, 6183.Smp_084140.1, 6183.Smp_138640.1, 6183.Smp_210340.1	
OG0000213	6183.Smp_025550.1, 6183.Smp_029240.2, 6183.Smp_070340.1, 6183.Smp_160330.1, 6183.Smp_211290.1	
OG0000214	6183.Smp_028120.1, 6183.Smp_028140.1, 6183.Smp_044920.1, 6183.Smp_067280.1, 6183.Smp_129050.1	
OG0000215	6183.Smp_030650.1, 6183.Smp_138730.1, 6183.Smp_138750.1, 6183.Smp_175120.2, 6183.Smp_212520.1	
OG0000216	6183.Smp_031180.1, 6183.Smp_031190.1, 6183.Smp_160880.1, 6183.Smp_166500.1, 6183.Smp_166530.2	
OG0000217	6183.Smp_033550.1, 6183.Smp_073920.1, 6183.Smp_124240.1, 6183.Smp_160290.1, 6183.Smp_163170.1	
OG0000218	6183.Smp_038990.1, 6183.Smp_049630.1, 6183.Smp_120980.1, 6183.Smp_128970.1, 6183.Smp_154450.1	
OG0000219	6183.Smp_046180.1, 6183.Smp_122730.1, 6183.Smp_122770.1, 6183.Smp_182200.1, 6183.Smp_186690.1	
OG0000220	6183.Smp_046250.1, 6183.Smp_072950.1, 6183.Smp_079310.1, 6183.Smp_140180.1, 6183.Smp_154960.1	
OG0000221	6183.Smp_049280.1, 6183.Smp_153090.1, 6183.Smp_159520.1, 6183.Smp_165970.1, 6183.Smp_170980.1	
OG0000222	6183.Smp_049760.1, 6183.Smp_080120.2, 6183.Smp_093540.3, 6183.Smp_124450.1, 6183.Smp_144390.1	
OG0000223	6183.Smp_051110.1, 6183.Smp_113520.1, 6183.Smp_148170.1, 6183.Smp_189180.2, 6183.Smp_202740.1	
OG0000224	6183.Smp_051930.1, 6183.Smp_149820.1, 6183.Smp_168450.1, 6183.Smp_193030.1, 6183.Smp_194380.1	
OG0000225	6183.Smp_055260.1, 6183.Smp_129900.1, 6183.Smp_129920.1, 6183.Smp_129930.1, 6183.Smp_196680.1	
OG0000226	6183.Smp_055400.1, 6183.Smp_059130.1, 6183.Smp_133390.1, 6183.Smp_149200.1	NC_001144 GPI transamidase subunit_ involved in attachment of glycosylphosphatidylinositol _GPI_ anchors to proteins; may have a role in recognition of the attachment signal or of the lipid portion of GPI [Saccharomyces cerevisiae]
OG0000227	6183.Smp_055780.1, 6183.Smp_089200.1, 6183.Smp_134890.1, 6183.Smp_137080.1, 6183.Smp_170820.1	
OG0000228	6183.Smp_055850.1, 6183.Smp_123980.1, 6183.Smp_123990.1, 6183.Smp_163830.1	NC_001141 Threonyl-tRNA synthetase_ essential cytoplasmic protein [Saccharomyces cerevisiae]
OG0000229	6183.Smp_066290.1, 6183.Smp_099800.1, 6183.Smp_099810.1, 6183.Smp_126550.1, 6183.Smp_157980.1	
OG0000230	6183.Smp_078280.1, 6183.Smp_144550.1, 6183.Smp_149240.1, 6183.Smp_174840.1, 6183.Smp_179650.1	
OG0000231	6183.Smp_080680.1, 6183.Smp_125290.1, 6183.Smp_150300.1, 6183.Smp_158820.1, 6183.Smp_165650.1	
OG0000232	6183.Smp_111710.1, 6183.Smp_178030.1, 6183.Smp_182990.1, 6183.Smp_185310.1, 6183.Smp_190340.1	
OG0000233	6183.Smp_112590.1, 6183.Smp_113460.1, 6183.Smp_186530.1, 6183.Smp_186540.1	NC_001142 Adenylate cyclase_ required for cAMP production and cAMP-dependent protein kinase signaling; the cAMP pathway controls a variety of cellular processes_ including metabolism_ cell cycle_ stress response_ stationary phase_ and sporulation [Saccharomyces cerevisiae]
OG0000234	6183.Smp_113310.1, 6183.Smp_117620.1, 6183.Smp_201940.1, 6183.Smp_203920.1, 6183.Smp_205780.1	
OG0000235	6183.Smp_114470.1, 6183.Smp_136330.1, 6183.Smp_148490.1, 6183.Smp_149910.1, 6183.Smp_183130.1	
OG0000236	6183.Smp_119580.1, 6183.Smp_134700.1, 6183.Smp_134710.1, 6183.Smp_134720.1, 6183.Smp_149880.1	
OG0000237	6183.Smp_122900.1, 6183.Smp_126080.1, 6183.Smp_152280.1, 6183.Smp_152290.1, 6183.Smp_176980.1	
OG0000238	6183.Smp_122910.1, 6183.Smp_162340.1, 6183.Smp_189130.1	NC_001134 Genome integrity checkpoint protein and PI kinase superfamily member; signal transducer required for cell cycle arrest and transcriptional responses prompted by damaged or unreplicated DNA; monitors and participates in meiotic recombination [Saccharomyces cerevisiae], NC_001143 PIK-related protein kinase and rapamycin target; subunit of TORC1_ a complex that regulates growth in response to nutrients and TORC2_ a complex that regulates cell-cycle dependent polarization of the actin cytoskeleton; involved in meiosis [Saccharomyces cerevisiae]
OG0000239	6183.Smp_123830.1, 6183.Smp_135560.1, 6183.Smp_164590.1, 6183.Smp_196840.1, 6183.Smp_197370.1	
OG0000240	6183.Smp_124500.1, 6183.Smp_130160.1, 6183.Smp_158550.1, 6183.Smp_159050.1, 6183.Smp_171690.1	
OG0000241	6183.Smp_125530.1, 6183.Smp_135700.1, 6183.Smp_159180.1, 6183.Smp_168290.1	NC_001146 Component of the microtubule-nucleating Tub4p _gamma-tubulin_ complex; interacts with Spc110p at the spindle pole body _SPB_ inner plaque and with Spc72p at the SPB outer plaque [Saccharomyces cerevisiae]
OG0000242	6183.Smp_126140.1, 6183.Smp_156620.1, 6183.Smp_170280.1, 6183.Smp_173540.1, 6183.Smp_181010.1	
OG0000243	6183.Smp_128640.1, 6183.Smp_146640.1, 6183.Smp_155520.1, 6183.Smp_155540.1, 6183.Smp_160150.1	
OG0000244	6183.Smp_129700.1, 6183.Smp_145910.1, 6183.Smp_145920.1, 6183.Smp_147690.1, 6183.Smp_147700.1	
OG0000245	6183.Smp_133840.1, 6183.Smp_139090.1, 6183.Smp_149310.1, 6183.Smp_201750.1, 6183.Smp_203980.1	
OG0000246	6183.Smp_139840.1, 6183.Smp_147730.1, 6183.Smp_172960.1, 6183.Smp_179120.1, 6183.Smp_180810.1	
OG0000247	6183.Smp_143680.1, 6183.Smp_146840.1, 6183.Smp_148790.1, 6183.Smp_151310.1, 6183.Smp_163810.1	
OG0000248	6183.Smp_158430.1, 6183.Smp_168300.1, 6183.Smp_179960.1, 6183.Smp_184360.1, 6183.Smp_193860.1	
OG0000249	6183.Smp_180640.1, 6183.Smp_184350.1, 6183.Smp_192100.1, 6183.Smp_199740.1, 6183.Smp_209090.1	
OG0000250	6183.Smp_000160.1, 6183.Smp_008710.1, 6183.Smp_104970.1, 6183.Smp_189490.1	
OG0000251	6183.Smp_000980.1, 6183.Smp_063790.1, 6183.Smp_100090.1, 6183.Smp_103530.1	
OG0000252	6183.Smp_001160.1, 6183.Smp_098760.1, 6183.Smp_098920.1, 6183.Smp_152230.1	
OG0000253	6183.Smp_002880.1, 6183.Smp_029390.1, 6183.Smp_038100.1, 6183.Smp_147050.1	
OG0000254	6183.Smp_003140.1, 6183.Smp_042550.1, 6183.Smp_091730.1, 6183.Smp_167550.1	
OG0000255	6183.Smp_004190.1, 6183.Smp_123010.1, 6183.Smp_176930.1, 6183.Smp_176940.1	
OG0000256	6183.Smp_004780.1, 6183.Smp_040500.1, 6183.Smp_068120.1, 6183.Smp_079230.1	
OG0000257	6183.Smp_004910.1, 6183.Smp_022810.1, 6183.Smp_071630.1, 6183.Smp_172740.1	
OG0000258	6183.Smp_005230.2, 6183.Smp_103740.1, 6183.Smp_147680.1, 6183.Smp_158150.1	
OG0000259	6183.Smp_005640.1, 6183.Smp_058050.1, 6183.Smp_153400.1, 6183.Smp_180200.1	
OG0000260	6183.Smp_006000.1, 6183.Smp_045620.1, 6183.Smp_049520.1	NC_001145 Subunit of the core complex of translation initiation factor 3_eIF3__ which is essential for translation [Saccharomyces cerevisiae]
OG0000261	6183.Smp_006720.2, 6183.Smp_055870.1, 6183.Smp_102160.1, 6183.Smp_123870.1	
OG0000262	6183.Smp_007730.1, 6183.Smp_151250.1, 6183.Smp_154160.1	NC_001134 HDEL receptor_ an integral membrane protein that binds to the HDEL motif in proteins destined for retention in the endoplasmic reticulum; has a role in maintenance of normal levels of ER-resident proteins [Saccharomyces cerevisiae]
OG0000263	6183.Smp_007770.1, 6183.Smp_118220.1, 6183.Smp_159540.1, 6183.Smp_169440.1	
OG0000264	6183.Smp_008170.1, 6183.Smp_126580.1, 6183.Smp_166620.1, 6183.Smp_166910.1	
OG0000265	6183.Smp_010160.1, 6183.Smp_020800.1, 6183.Smp_168350.1	NC_001147 Cochaperone protein; regulates activity of adenylyl cyclase Cyr1p; involved in kinetochore complex assembly; associates with the SCF _Skp1p/Cdc53p/F box protein_ ubiquitin ligase complex; acts as a linker between Skp1p and HSP90 complexes [Saccharomyces cerevisiae]
OG0000266	6183.Smp_010720.1, 6183.Smp_010770.1, 6183.Smp_051810.1, 6183.Smp_130370.1	
OG0000267	6183.Smp_011660.1, 6183.Smp_065290.1, 6183.Smp_098840.1, 6183.Smp_171370.1	
OG0000268	6183.Smp_012540.1, 6183.Smp_083180.2	NC_001136 Putative PINc domain nuclease required for early cleavages of 35S pre-rRNA and maturation of 18S rRNA; component of the SSU _small subunit_ processome involved in 40S ribosomal subunit biogenesis; copurifies with Faf1p [Saccharomyces cerevisiae], NC_001147 Essential nucleolar protein that is a component of the SSU _small subunit_ processome involved in 40S ribosomal subunit biogenesis; has homology to PINc domain protein Fcf1p_ although the PINc domain of Utp23p is not required for function [Saccharomyces cerevisiae]
OG0000269	6183.Smp_012900.1, 6183.Smp_070200.1, 6183.Smp_129720.1, 6183.Smp_161750.1	
OG0000270	6183.Smp_013070.1, 6183.Smp_143500.1, 6183.Smp_143510.1, 6183.Smp_196950.1	
OG0000271	6183.Smp_013690.1, 6183.Smp_075810.1, 6183.Smp_087580.1, 6183.Smp_087620.1	
OG0000272	6183.Smp_016380.1, 6183.Smp_034660.1, 6183.Smp_101280.1, 6183.Smp_124660.1	
OG0000273	6183.Smp_018150.1, 6183.Smp_100120.1, 6183.Smp_143170.1, 6183.Smp_174470.1	
OG0000274	6183.Smp_018240.3	NC_001136 ATPase in ER_ nuclear membrane and cytosol with homology to mammalian p97; in a complex with Npl4p and Ufd1p participates in retrotranslocation of ubiquitinated proteins from the ER into the cytosol for degradation by the proteasome [Saccharomyces cerevisiae], NC_001144 ATPase of the CDC48/PAS1/SEC18 _AAA_ family_ forms a hexameric complex; may be involved in degradation of aberrant mRNAs [Saccharomyces cerevisiae], NC_001144 Putative ATPase of the AAA family_ required for export of pre-ribosomal large subunits from the nucleus; distributed between the nucleolus_ nucleoplasm_ and nuclear periphery depending on growth conditions [Saccharomyces cerevisiae]
OG0000275	6183.Smp_018590.1, 6183.Smp_080030.1, 6183.Smp_159560.1, 6183.Smp_175500.1	
OG0000276	6183.Smp_018680.1, 6183.Smp_056200.1, 6183.Smp_196160.1, 6183.Smp_203680.1	
OG0000277	6183.Smp_019990.1, 6183.Smp_034400.1, 6183.Smp_060700.1, 6183.Smp_143060.1	
OG0000278	6183.Smp_022700.2, 6183.Smp_072900.1, 6183.Smp_121880.1	NC_001142 Essential 3-hydroxyacyl-CoA dehydratase of the ER membrane_ involved in elongation of very long-chain fatty acids; evolutionarily conserved_ similar to mammalian PTPLA and PTPLB; involved in sphingolipid biosynthesis and protein trafficking [Saccharomyces cerevisiae]
OG0000279	6183.Smp_024140.4, 6183.Smp_133470.1	NC_001137 Poly_A_ binding protein_ part of the 3'-end RNA-processing complex_ mediates interactions between the 5' cap structure and the 3' mRNA poly_A_ tail_ involved in control of poly_A_ tail length_ interacts with translation factor eIF-4G [Saccharomyces cerevisiae], NC_001148 Nucleolar protein_ essential for processing and maturation of 27S pre-rRNA and large ribosomal subunit biogenesis; constituent of 66S pre-ribosomal particles; contains four RNA recognition motifs _RRMs_ [Saccharomyces cerevisiae]
OG0000280	6183.Smp_024180.2, 6183.Smp_101970.1, 6183.Smp_135250.1, 6183.Smp_157110.1	
OG0000281	6183.Smp_024240.1, 6183.Smp_074990.1, 6183.Smp_075000.1, 6183.Smp_211320.1	
OG0000282	6183.Smp_024520.1, 6183.Smp_094420.1	NC_001137 GDP dissociation inhibitor_ regulates vesicle traffic in secretory pathways by regulating the dissociation of GDP from the Sec4/Ypt/rab family of GTP binding proteins [Saccharomyces cerevisiae], NC_001147 Rab escort protein_ forms a complex with the Ras-like small GTPase Ypt1p that is required for the prenylation of Ypt1p by protein geranylgeranyltransferase type II _Bet2p-Bet4p_; sequence similarity to mammalian choroideraemia gene [Saccharomyces cerevisiae]
OG0000283	6183.Smp_026630.1, 6183.Smp_078320.1, 6183.Smp_126690.1	NC_001147 Essential_ non-ATPase regulatory subunit of the 26S proteasome; has similarity to the human p40 proteasomal subunit and to another S. cerevisiae regulatory subunit_ Rpn11p [Saccharomyces cerevisiae]
OG0000284	6183.Smp_027370.1, 6183.Smp_058790.1, 6183.Smp_154440.1, 6183.Smp_162710.1	
OG0000285	6183.Smp_027820.1, 6183.Smp_126880.1, 6183.Smp_137250.1, 6183.Smp_168430.1	
OG0000286	6183.Smp_028190.1, 6183.Smp_090520.1, 6183.Smp_171620.1, 6183.Smp_179110.1	
OG0000287	6183.Smp_029070.1, 6183.Smp_100310.1, 6183.Smp_106410.1, 6183.Smp_177260.1	
OG0000288	6183.Smp_032970.1, 6183.Smp_032980.1, 6183.Smp_032990.1, 6183.Smp_139970.1	
OG0000289	6183.Smp_033040.1, 6183.Smp_038950.1, 6183.Smp_038960.1, 6183.Smp_047370.1	
OG0000290	6183.Smp_033600.1, 6183.Smp_142510.2, 6183.Smp_169750.1	NC_001145 RNAase III; involved in rDNA transcription and rRNA processing; also cleaves a stem-loop structure at the 3' end of U2 snRNA to ensure formation of the correct U2 3' end [Saccharomyces cerevisiae]
OG0000291	6183.Smp_035540.1, 6183.Smp_147960.1, 6183.Smp_147980.1, 6183.Smp_167300.1	
OG0000292	6183.Smp_036180.1, 6183.Smp_131190.1, 6183.Smp_131200.1, 6183.Smp_163080.1	
OG0000293	6183.Smp_036220.1, 6183.Smp_077790.1, 6183.Smp_108390.1	NC_001136 Histone H2B_ core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB2; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates transcriptional activation_ meiotic DSB formation and H3 methylation [Saccharomyces cerevisiae]
OG0000294	6183.Smp_037400.1, 6183.Smp_134020.1	NC_001134 Subunit of the Anaphase-Promoting Complex/Cyclosome _APC/C__ which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors_ including mitotic cyclins_ during the metaphase/anaphase transition [Saccharomyces cerevisiae], NC_001140 Subunit of the Anaphase-Promoting Complex/Cyclosome _APC/C__ which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors_ including mitotic cyclins_ during the metaphase/anaphase transition [Saccharomyces cerevisiae]
OG0000295	6183.Smp_037540.2, 6183.Smp_052510.1, 6183.Smp_142810.1, 6183.Smp_156550.1	
OG0000296	6183.Smp_037930.1, 6183.Smp_042630.1, 6183.Smp_042650.1, 6183.Smp_061500.1	
OG0000297	6183.Smp_039670.1, 6183.Smp_088250.1, 6183.Smp_130980.1, 6183.Smp_152760.1	
OG0000298	6183.Smp_042670.2, 6183.Smp_153710.1, 6183.Smp_172620.1, 6183.Smp_199070.1	
OG0000299	6183.Smp_043570.1, 6183.Smp_044750.1, 6183.Smp_046290.1, 6183.Smp_145660.1	
OG0000300	6183.Smp_045410.1, 6183.Smp_045420.1, 6183.Smp_057130.1, 6183.Smp_086190.1	
OG0000301	6183.Smp_045680.1, 6183.Smp_146740.1, 6183.Smp_146750.1, 6183.Smp_167210.1	
OG0000302	6183.Smp_048310.1, 6183.Smp_066010.2, 6183.Smp_127160.1, 6183.Smp_132740.1	
OG0000303	6183.Smp_048660.1, 6183.Smp_148990.1	NC_001144 Essential evolutionarily-conserved nucleolar protein component of the box C/D snoRNP complexes that direct 2'-O-methylation of pre-rRNA during its maturation; overexpression causes spindle orientation defects [Saccharomyces cerevisiae], NC_001147 Protein involved in pre-rRNA processing_ 18S rRNA synthesis_ and snoRNA synthesis; component of the small subunit processome complex_ which is required for processing of pre-18S rRNA [Saccharomyces cerevisiae]
OG0000304	6183.Smp_049510.1, 6183.Smp_062970.1, 6183.Smp_170170.1	NC_001146 Integral subunit of the pre-mRNA cleavage and polyadenylation factor _CPF_ complex; plays an essential role in mRNA 3'-end formation by bridging different processing factors and thereby promoting the assembly of the processing complex [Saccharomyces cerevisiae]
OG0000305	6183.Smp_049550.1, 6183.Smp_106130.2	NC_001142 ATPase involved in protein import into the ER_ also acts as a chaperone to mediate protein folding in the ER and may play a role in ER export of soluble proteins; regulates the unfolded protein response via interaction with Ire1p [Saccharomyces cerevisiae], NC_001142 Mitochondrial matrix ATPase_ subunit of the presequence translocase-associated protein import motor _PAM_ and of SceI endonuclease; involved in protein folding and translocation into the matrix; phosphorylated; member of HSP70 family [Saccharomyces cerevisiae]
OG0000306	6183.Smp_049730.2, 6183.Smp_168850.1, 6183.Smp_170540.1, 6183.Smp_188270.1	
OG0000307	6183.Smp_049850.1, 6183.Smp_103560.1, 6183.Smp_148820.1, 6183.Smp_168500.1	
OG0000308	6183.Smp_051210.1, 6183.Smp_168490.1, 6183.Smp_174910.1	NC_001146 Karyopherin alpha homolog_ forms a dimer with karyopherin beta Kap95p to mediate import of nuclear proteins_ binds the nuclear localization signal of the substrate during import; may also play a role in regulation of protein degradation [Saccharomyces cerevisiae]
OG0000309	6183.Smp_051990.1, 6183.Smp_133510.1, 6183.Smp_139810.1, 6183.Smp_149990.1	
OG0000310	6183.Smp_053300.1, 6183.Smp_053390.1, 6183.Smp_194870.1	NC_001134 Histone H4_ core histone protein required for chromatin assembly and chromosome function; one of two identical histone proteins _see also HHF2_; contributes to telomeric silencing; N-terminal domain involved in maintaining genomic integrity [Saccharomyces cerevisiae]
OG0000311	6183.Smp_055390.1, 6183.Smp_154650.1, 6183.Smp_181170.1, 6183.Smp_196690.1	
OG0000312	6183.Smp_055770.2, 6183.Smp_118200.1, 6183.Smp_172910.1, 6183.Smp_173810.1	
OG0000313	6183.Smp_056620.1, 6183.Smp_069600.1, 6183.Smp_127490.1, 6183.Smp_129130.1	
OG0000314	6183.Smp_056760.1, 6183.Smp_157700.1, 6183.Smp_172110.1	NC_001135 Protein disulfide isomerase_ multifunctional protein resident in the endoplasmic reticulum lumen_ essential for the formation of disulfide bonds in secretory and cell-surface proteins_ unscrambles non-native disulfide bonds [Saccharomyces cerevisiae]
OG0000315	6183.Smp_061590.1, 6183.Smp_197880.1	NC_001140 Essential tripartite DNA replication factor with single-stranded DNA-dependent ATPase_ ATP-dependent nuclease_ and helicase activities; required for Okazaki fragment processing; involved in DNA repair pathways; potential Cdc28p substrate [Saccharomyces cerevisiae], NC_001144 Presumed helicase required for RNA polymerase II transcription termination and processing of RNAs; homolog of Senataxin which causes Ataxia-Oculomotor Apraxia 2 and a dominant form of amyotrophic lateral sclerosis [Saccharomyces cerevisiae]
OG0000316	6183.Smp_070370.1, 6183.Smp_070380.1, 6183.Smp_075500.1, 6183.Smp_198560.1	
OG0000317	6183.Smp_070610.2, 6183.Smp_078270.1, 6183.Smp_095470.1	NC_001141 Component of the mitotic exit network; associates with and is required for the activation and Cdc15p-dependent phosphorylation of the Dbf2p kinase; required for cytokinesis and cell separation; component of the CCR4 transcriptional complex [Saccharomyces cerevisiae]
OG0000318	6183.Smp_071770.1, 6183.Smp_098850.1, 6183.Smp_151080.1, 6183.Smp_160090.1	
OG0000319	6183.Smp_072720.1, 6183.Smp_105210.1, 6183.Smp_129990.1, 6183.Smp_145180.1	
OG0000320	6183.Smp_073340.1	NC_001134 Catalytic subunit of the main cell cycle cyclin-dependent kinase _CDK_; alternately associates with G1 cyclins _CLNs_ and G2/M cyclins _CLBs_ which direct the CDK to specific substrates [Saccharomyces cerevisiae], NC_001138 Cyclin-dependent kinase-activating kinase required for passage through the cell cycle_ phosphorylates and activates Cdc28p; nucleotide-binding pocket differs significantly from those of most other protein kinases [Saccharomyces cerevisiae], NC_001148 Cyclin _Bur2p_-dependent protein kinase that functions in transcriptional regulation; phosphorylates the carboxy-terminal domain of Rpo21p_ which is the largest subunit of RNA polymerase II; regulated by Cak1p [Saccharomyces cerevisiae]
OG0000321	6183.Smp_073450.1, 6183.Smp_124760.1, 6183.Smp_157380.1, 6183.Smp_184180.1	
OG0000322	6183.Smp_074020.1, 6183.Smp_092530.2, 6183.Smp_138860.1, 6183.Smp_158780.1	
OG0000323	6183.Smp_077980.1, 6183.Smp_144080.1, 6183.Smp_149400.1, 6183.Smp_160240.1	
OG0000324	6183.Smp_078690.1, 6183.Smp_086330.1, 6183.Smp_126480.1	NC_001148 Essential protein required for determination of budding pattern_ promotes localization of axial markers Bud4p and Cdc12p and functionally interacts with Sec3p_ localizes to the contractile ring during anaphase_ member of the IQGAP family [Saccharomyces cerevisiae]
OG0000325	6183.Smp_078780.1, 6183.Smp_085110.2, 6183.Smp_092460.1, 6183.Smp_196810.1	
OG0000326	6183.Smp_081900.2, 6183.Smp_081920.1, 6183.Smp_166340.1, 6183.Smp_166350.1	
OG0000327	6183.Smp_082280.1, 6183.Smp_150140.1, 6183.Smp_150480.1, 6183.Smp_150490.1	
OG0000328	6183.Smp_083770.1, 6183.Smp_123680.1, 6183.Smp_141530.1, 6183.Smp_162650.1	
OG0000329	6183.Smp_084600.1, 6183.Smp_095090.1, 6183.Smp_144610.1, 6183.Smp_203320.1	
OG0000330	6183.Smp_084890.1, 6183.Smp_104270.1, 6183.Smp_153340.1, 6183.Smp_153390.2	
OG0000331	6183.Smp_085480.1, 6183.Smp_125180.1, 6183.Smp_150930.1, 6183.Smp_201310.1	
OG0000332	6183.Smp_086590.1, 6183.Smp_120700.1, 6183.Smp_195080.1	NC_001144 Cofilin_ promotes actin filament depolarization in a pH-dependent manner; binds both actin monomers and filaments and severs filaments; thought to be regulated by phosphorylation at SER4; ubiquitous and essential in eukaryotes [Saccharomyces cerevisiae]
OG0000333	6183.Smp_088700.1, 6183.Smp_088720.1, 6183.Smp_170410.1, 6183.Smp_170420.1	
OG0000334	6183.Smp_089780.1, 6183.Smp_099640.1, 6183.Smp_179310.1, 6183.Smp_205110.1	
OG0000335	6183.Smp_091770.1, 6183.Smp_208010.1	NC_001142 Alpha subunit of Type II geranylgeranyltransferase required for vesicular transport between the endoplasmic reticulum and the Golgi; provides a membrane attachment moiety to Rab-like proteins Ypt1p and Sec4p [Saccharomyces cerevisiae], NC_001143 Alpha subunit of both the farnesyltransferase and type I geranylgeranyltransferase that catalyze prenylation of proteins containing a CAAX consensus motif; essential protein required for membrane localization of Ras proteins and a-factor [Saccharomyces cerevisiae]
OG0000336	6183.Smp_094390.1, 6183.Smp_152830.1, 6183.Smp_170370.1, 6183.Smp_170450.1	
OG0000337	6183.Smp_102210.1, 6183.Smp_131580.1, 6183.Smp_143430.1, 6183.Smp_160310.1	
OG0000338	6183.Smp_108600.1, 6183.Smp_175890.1, 6183.Smp_181700.1, 6183.Smp_187110.1	
OG0000339	6183.Smp_113530.1, 6183.Smp_178240.1, 6183.Smp_184460.1, 6183.Smp_185350.1	
OG0000340	6183.Smp_118890.1, 6183.Smp_120260.1, 6183.Smp_168440.1, 6183.Smp_193740.1	
OG0000341	6183.Smp_119140.1, 6183.Smp_161760.1, 6183.Smp_201920.1, 6183.Smp_203290.1	
OG0000342	6183.Smp_124130.1, 6183.Smp_141440.1, 6183.Smp_157240.1, 6183.Smp_163380.1	
OG0000343	6183.Smp_124930.1, 6183.Smp_134430.1, 6183.Smp_138550.1, 6183.Smp_153440.1	
OG0000344	6183.Smp_126740.1, 6183.Smp_156890.1, 6183.Smp_158720.1, 6183.Smp_176440.1	
OG0000345	6183.Smp_127740.1, 6183.Smp_160620.1, 6183.Smp_175340.1, 6183.Smp_197390.1	
OG0000346	6183.Smp_127790.1, 6183.Smp_157550.1, 6183.Smp_169430.1, 6183.Smp_205400.1	
OG0000347	6183.Smp_127940.1, 6183.Smp_136030.1, 6183.Smp_180950.1, 6183.Smp_180960.1	
OG0000348	6183.Smp_129000.1, 6183.Smp_133070.1, 6183.Smp_133080.1, 6183.Smp_133090.1	
OG0000349	6183.Smp_129590.1, 6183.Smp_158530.1, 6183.Smp_158540.1	NC_001136 Protein involved in transcription; interacts with RNA polymerase II subunits Rpb2p_ Rpb3_ and Rpb11p; has similarity to human RPAP1 [Saccharomyces cerevisiae]
OG0000350	6183.Smp_129820.1, 6183.Smp_147250.2, 6183.Smp_167610.1, 6183.Smp_171740.1	
OG0000351	6183.Smp_130340.1, 6183.Smp_150660.1	NC_001144 Phosphatidylinositol-4-kinase that functions in the Pkc1p protein kinase pathway; required for normal vacuole morphology_ cell wall integrity_ and actin cytoskeleton organization [Saccharomyces cerevisiae], NC_001146 Phosphatidylinositol 4-kinase; catalyzes first step in the biosynthesis of phosphatidylinositol-4_5-biphosphate; may control cytokineses through the actin cytoskeleton [Saccharomyces cerevisiae]
OG0000352	6183.Smp_130920.1, 6183.Smp_134590.1, 6183.Smp_155940.1, 6183.Smp_172040.1	
OG0000353	6183.Smp_131990.1, 6183.Smp_135060.1, 6183.Smp_138620.1, 6183.Smp_159360.1	
OG0000354	6183.Smp_132060.1, 6183.Smp_138230.1, 6183.Smp_143190.1, 6183.Smp_163870.1	
OG0000355	6183.Smp_133250.1, 6183.Smp_133690.1, 6183.Smp_135340.1, 6183.Smp_150730.1	
