Orthogroup	protein_mansoni	resultado_cel	resultado_dme	resultado_sce
OG0000297	6183.Smp_035430.2, 6183.Smp_176600.1	NP_505807.1, NP_505808.1, NP_507133.4	AAF55499.2, AAF55501.2, AAF56720.2	NP_014657.1
OG0000298	6183.Smp_036250.1, 6183.Smp_059100.1	NP_492952.1, NP_496457.1	NP_524705.1, NP_610487.3	NP_010471.1, NP_013269.1, NP_013294.1
OG0000299	6183.Smp_043030.1	NP_492475.1, NP_492905.1, NP_500088.1	AAF56591.2, NP_524674.1, NP_524848.1	NP_011261.1, NP_116711.3
OG0000300	6183.Smp_043260.1, 6183.Smp_043270.1, 6183.Smp_043290.1, 6183.Smp_043300.1, 6183.Smp_043320.1, 6183.Smp_043340.1, 6183.Smp_059400.1, 6183.Smp_134460.1, 6183.Smp_145520.1			
OG0000301	6183.Smp_045220.1, 6183.Smp_062250.1	NP_498193.1, NP_499813.1, NP_510375.2	AAF46045.2, AAF56733.2, NP_511049.1	NP_011409.1
OG0000302	6183.Smp_047640.1, 6183.Smp_047650.1, 6183.Smp_047660.1, 6183.Smp_047680.1, 6183.Smp_087760.1	NP_491198.1, NP_504944.2	AAF48226.1, AAF57038.1	
OG0000303	6183.Smp_048230.1	NP_490841.3, NP_495391.1, NP_501713.1, NP_504358.1	AAF46182.3, AAF54223.1, AAF57103.1	NP_012045.3
OG0000304	6183.Smp_052630.1, 6183.Smp_083980.1, 6183.Smp_093210.1, 6183.Smp_124040.1, 6183.Smp_144110.1, 6183.Smp_162680.1, 6183.Smp_170810.1, 6183.Smp_178830.1, 6183.Smp_180260.1			
OG0000305	6183.Smp_056970.1	NP_496192.1, NP_496237.1, NP_508534.3, NP_508535.1	NP_525091.1, NP_525108.2	NP_011708.3, NP_012483.3
OG0000306	6183.Smp_062300.1	NP_500362.3, NP_500363.1, NP_502935.1, NP_502936.1, NP_502937.1, NP_502938.1	NP_476950.1, P48554.1	
OG0000307	6183.Smp_065130.2	NP_491097.3, NP_491098.1	AAF54657.2, AAF54658.3, AAF56048.1, AAF56711.2, AAF58853.2	NP_012756.1
OG0000308	6183.Smp_071390.1, 6183.Smp_194530.1	NP_496386.1, NP_509786.2, NP_509884.1, NP_510236.1	AAF56560.1, NP_524038.1	NP_012901.3
OG0000309	6183.Smp_077180.1	NP_502989.1, NP_503159.3, NP_503160.1, NP_503161.2, NP_503162.3, NP_504040.1	AAF53551.2	NP_009833.1
OG0000310	6183.Smp_084330.1, 6183.Smp_104170.1, 6183.Smp_117880.1, 6183.Smp_124900.1, 6183.Smp_144740.1, 6183.Smp_147200.1, 6183.Smp_154120.1, 6183.Smp_159900.1, 6183.Smp_179400.1			
OG0000311	6183.Smp_084890.1, 6183.Smp_104270.1, 6183.Smp_153340.1, 6183.Smp_153390.2	NP_501023.3, NP_506044.1, NP_506046.1		NP_009955.2, NP_010900.1
OG0000312	6183.Smp_086590.1, 6183.Smp_120700.1, 6183.Smp_195080.1	NP_503425.2, NP_503426.2, NP_503427.2	AAF48877.1, NP_477034.1	NP_013050.1
OG0000313	6183.Smp_088570.1, 6183.Smp_107700.1, 6183.Smp_110040.1, 6183.Smp_110310.1, 6183.Smp_184370.1, 6183.Smp_184780.1, 6183.Smp_189290.1, 6183.Smp_190390.1, 6183.Smp_191130.1			
OG0000314	6183.Smp_094660.1, 6183.Smp_116290.1	NP_496646.2, NP_501180.1, NP_504823.2, NP_505370.2, NP_505371.2	AAF50089.2	NP_009855.1
OG0000315	6183.Smp_096760.1, 6183.Smp_180040.1		AAF54766.1, AAF54767.1, AAF55985.2, NP_524546.2	NP_012770.1, NP_012969.1, NP_014926.1
OG0000316	6183.Smp_104210.1, 6183.Smp_180030.1, 6183.Smp_180350.1		AAF55202.1, NP_476701.1, NP_477096.1, NP_524035.2, NP_524398.1, NP_524407.1	
OG0000317	6183.Smp_110560.1, 6183.Smp_118350.1, 6183.Smp_137240.1, 6183.Smp_168420.1, 6183.Smp_191640.1, 6183.Smp_193570.1, 6183.Smp_193580.1	NP_500606.1	AAF55975.1	
OG0000318	6183.Smp_117000.1, 6183.Smp_120390.1, 6183.Smp_185340.1, 6183.Smp_200510.1, 6183.Smp_200620.1, 6183.Smp_203100.1, 6183.Smp_203380.1, 6183.Smp_204620.1, 6183.Smp_204630.1			
OG0000319	6183.Smp_122910.1, 6183.Smp_157820.1	NP_490693.3, NP_491549.2, NP_491552.2	AAF55149.1, NP_524891.1	NP_012600.1, NP_012719.2
OG0000320	6183.Smp_125970.1, 6183.Smp_135890.1, 6183.Smp_149930.1	NP_499146.2, NP_499147.3, NP_504341.1, NP_504342.2, NP_505039.1		NP_010075.1
OG0000321	6183.Smp_127630.1, 6183.Smp_131830.1, 6183.Smp_152000.1, 6183.Smp_212390.1	NP_507514.1	AAF50952.2, AAF55858.2	NP_010354.3, NP_011071.3
OG0000322	6183.Smp_127940.1, 6183.Smp_136030.1	NP_492258.1, NP_495228.1, NP_509137.1, NP_509936.3	AAF50207.2, AAF52497.2	NP_014124.1
OG0000323	6183.Smp_145890.1, 6183.Smp_180810.1	NP_504759.1, NP_505017.1, NP_505018.1, NP_507993.2	AAF46065.3, AAF52956.3, AAF56794.4	
OG0000324	6183.Smp_150510.1, 6183.Smp_154110.1	NP_499335.2, NP_505227.1	AAF50471.2, AAF53981.2, AAF54315.1	NP_011739.1, NP_444297.1
OG0000325	6183.Smp_150820.1	NP_493374.2, NP_495072.2, NP_495075.1, NP_495079.1, NP_504301.1, NP_504302.1, NP_508159.2		NP_012553.3
OG0000326	6183.Smp_152710.2	NP_497193.1, NP_498728.1, NP_498883.2, NP_507142.2	AAF50402.1, AAF50403.2, AAF50405.1, AAF50406.1	
OG0000327	6183.Smp_155870.1	NP_500627.1, NP_501427.2	NP_524746.2, NP_608439.2, Q9VGA2.1, Q9VN97.1, Q9VNA0.2	NP_012392.1
OG0000328	6183.Smp_165000.1	NP_490970.1, NP_508351.2, NP_509963.2, NP_509981.2, NP_509997.1, NP_510056.2	AAF54122.2	NP_010728.1
OG0000329	6183.Smp_179360.1			NP_009536.1, NP_010023.1, NP_010024.1, NP_010025.1, NP_012095.1, NP_012313.1, NP_014463.1, NP_014464.3
OG0000330	6183.Smp_185420.1, 6183.Smp_200230.1, 6183.Smp_200760.1, 6183.Smp_200960.1, 6183.Smp_201680.1, 6183.Smp_204180.1, 6183.Smp_205320.1, 6183.Smp_205660.1, 6183.Smp_205790.1			
OG0000331		NP_507777.2, NP_507778.3, NP_507779.2, NP_507782.2, NP_507784.2, NP_507785.1, NP_507786.3, NP_507787.2, NP_507886.1		
OG0000332		NP_500928.2, NP_505133.1, NP_505134.1, NP_505135.1, NP_505136.2, NP_505232.1, NP_505384.2, NP_506185.1, NP_509082.2		
OG0000333		NP_490694.1, NP_490698.2, NP_495216.1, NP_495220.1, NP_495814.1, NP_496773.1, NP_500301.1, NP_500820.1, NP_502606.1		
OG0000334		NP_491922.1, NP_492460.1, NP_494940.1, NP_506461.1, NP_506462.2, NP_506970.1, NP_508656.1		NP_010562.1, NP_012384.1
OG0000335		NP_495298.1, NP_497126.1, NP_497559.2, NP_497849.1, NP_500530.2, NP_501575.3, NP_503495.1, NP_503597.2, NP_507734.4		
OG0000336		NP_492881.2, NP_492883.1, NP_492884.1, NP_492885.1, NP_492918.2, NP_493005.1, NP_500490.1, NP_500491.1, NP_500492.2		
OG0000337		NP_492295.1, NP_498530.2, NP_500850.1, NP_501879.3, NP_505075.2, NP_505076.1, NP_505406.4, NP_509863.2, NP_510689.1		
OG0000338			AAF49971.2, AAF55195.1, AAF55215.2, AAF56347.1, AAF56989.2, AAF57068.1, NP_611262.1	NP_009853.3, NP_013193.1
OG0000339			AAF46611.1, AAF46612.1, AAF46982.3, AAF50034.2, AAF56863.2, AAF56882.3, AAF56883.3, AAF56884.1, NP_609770.3	
OG0000340			AAF48012.1, AAF48087.1, AAF49797.2, AAF50929.1, AAF50930.1, AAF51939.1, AAF52338.2, AAF55877.1, AAF55973.1	
OG0000341			AAF51370.1, AAF51372.1, AAF53015.1, AAF55416.1, AAF55418.1, NP_525030.1, NP_608600.1, NP_609235.1, NP_609458.1	
OG0000342				NP_009758.3, NP_009764.3, NP_010771.1, NP_012181.3, NP_012396.1, NP_012987.3, NP_014369.3, NP_014742.1, NP_015272.1
OG0000343	6183.Smp_000460.1, 6183.Smp_000850.1, 6183.Smp_005070.1	NP_497962.1, NP_508806.1	AAD09428.1, AAF54184.1, NP_524213.1	
OG0000344	6183.Smp_000640.1, 6183.Smp_044530.1, 6183.Smp_062950.1, 6183.Smp_173170.1	NP_509342.1	NP_476858.1	NP_011652.1, NP_015480.1
OG0000345	6183.Smp_001420.1, 6183.Smp_145170.1, 6183.Smp_165040.1	NP_497310.2	AAF54659.1, AAF55279.2	NP_014106.1, NP_014529.1
OG0000346	6183.Smp_003600.1, 6183.Smp_003610.2, 6183.Smp_035550.1, 6183.Smp_035560.2, 6183.Smp_083240.1, 6183.Smp_167270.1, 6183.Smp_167280.1, 6183.Smp_188200.1			
OG0000347	6183.Smp_005670.1, 6183.Smp_173990.1, 6183.Smp_190370.1	NP_490675.1, NP_492966.1	NP_477170.1	NP_010948.1, NP_011305.1
OG0000348	6183.Smp_007630.1	NP_492504.1, NP_495021.1, NP_495022.2, NP_500665.2, NP_500666.2	NP_476902.1	NP_012266.1
OG0000349	6183.Smp_010230.1, 6183.Smp_063640.1, 6183.Smp_075130.1	NP_492072.2, NP_496508.1	AAF46336.1, NP_525090.1	NP_014855.3
OG0000350	6183.Smp_012930.1	NP_501066.2	NP_524646.5	NP_009435.1, NP_009436.1, NP_012088.3, NP_013536.3, NP_013656.1
OG0000351	6183.Smp_013440.1, 6183.Smp_167630.1	NP_499995.2, NP_499996.1, NP_503096.2, NP_505904.2	AAF49687.2, NP_523974.3	
OG0000352	6183.Smp_017670.1, 6183.Smp_070190.1, 6183.Smp_122370.2	NP_491173.1, NP_494767.2	AAF49904.1, AAF57200.1	NP_011768.1
OG0000353	6183.Smp_018800.1, 6183.Smp_132470.1, 6183.Smp_132480.1, 6183.Smp_136720.1, 6183.Smp_136830.2, 6183.Smp_136840.1, 6183.Smp_197470.1, 6183.Smp_205390.1			
OG0000354	6183.Smp_020090.1, 6183.Smp_155090.1, 6183.Smp_155100.1	NP_498029.2	AAF47490.2, AAF47497.2, AAF48067.2, P20350.2	
OG0000355	6183.Smp_020300.1, 6183.Smp_101630.1, 6183.Smp_162410.1	NP_494937.4, NP_494978.4, NP_494979.5, NP_494980.4	AAF48033.1	
OG0000356	6183.Smp_020370.1, 6183.Smp_058240.1	NP_506658.1	AAF52198.2, AAF54008.2, NP_608893.1	NP_010077.1, NP_010519.3
OG0000357	6183.Smp_022960.1, 6183.Smp_050390.1	NP_498081.2, NP_503467.2	AAF56646.2, NP_609285.1	NP_010996.2, NP_015019.1
OG0000358	6183.Smp_024820.2	NP_492636.1	AAF52719.2, NP_477248.1, NP_523516.1, NP_523612.3, NP_523696.1, NP_524132.1	
OG0000359	6183.Smp_027000.1, 6183.Smp_038830.1	NP_490914.3, NP_492210.2, NP_496937.1, NP_496938.2	AAF56398.2, AAF56399.3	
OG0000360	6183.Smp_027550.1, 6183.Smp_062240.1, 6183.Smp_123600.1, 6183.Smp_155640.1, 6183.Smp_167130.1, 6183.Smp_168860.1	NP_499866.1	NP_610339.1	
OG0000361	6183.Smp_028430.1	NP_491849.1, NP_497937.1, NP_505496.1	AAF47382.1, NP_569852.1	NP_010276.3, NP_014508.1
OG0000362	6183.Smp_028990.1, 6183.Smp_035580.1	NP_505733.1	AAF46583.2, NP_524484.1, NP_524921.1, NP_524937.1	NP_011059.3
OG0000363	6183.Smp_030320.1, 6183.Smp_047540.1	NP_506421.1, NP_506422.1	NP_523922.1	NP_010988.1, NP_012218.1, NP_116585.1
OG0000364	6183.Smp_038340.1, 6183.Smp_094130.1, 6183.Smp_130350.1	NP_491702.1, NP_492960.1, NP_492961.1	NP_477449.1, NP_611070.1	
OG0000365	6183.Smp_040360.1, 6183.Smp_164200.1	NP_510494.2, NP_510575.1	AAF49653.1, NP_569847.1	NP_009358.1, NP_013644.1
OG0000366	6183.Smp_042440.1, 6183.Smp_122050.1	NP_493403.1, NP_501459.1, NP_508803.3	AAF46137.2	NP_011860.1, NP_012917.3
OG0000367	6183.Smp_042650.1, 6183.Smp_139630.1	NP_500147.1, NP_500148.1	AAF50799.1, AAF55160.1	NP_011778.1, NP_014648.1
OG0000368	6183.Smp_049150.1, 6183.Smp_064380.1	NP_491413.2, NP_509047.1, NP_510709.1	AAF51320.1, NP_611086.1	NP_013127.2
OG0000369	6183.Smp_055400.1, 6183.Smp_059130.1	NP_499046.2, NP_506367.1	AAF53604.1, NP_611425.1	NP_009901.1, NP_014251.1
OG0000370	6183.Smp_056780.1	NP_495943.1	AAF53739.1, AAF57245.1, AAF57512.1, NP_523771.1, NP_608667.1, NP_611916.1	
OG0000371	6183.Smp_057530.1	NP_510461.1	AAF45422.1, AAF48688.3, AAF52291.2, AAF52407.3, NP_524739.1	NP_011893.1
OG0000372	6183.Smp_059530.2, 6183.Smp_099770.1, 6183.Smp_131840.1, 6183.Smp_154180.1, 6183.Smp_154190.1, 6183.Smp_194960.1, 6183.Smp_194970.1, 6183.Smp_194980.1			
OG0000373	6183.Smp_060910.1, 6183.Smp_094150.1	NP_490883.1, NP_498708.1	AAF46645.1, NP_523708.2	NP_010666.2, NP_015508.1
OG0000374	6183.Smp_066010.2	NP_491931.1, NP_510335.2	AAF49529.1, NP_572304.5, NP_609852.1, Q9V4N3.1	NP_014288.3
OG0000375	6183.Smp_067060.1, 6183.Smp_085180.1, 6183.Smp_103610.1, 6183.Smp_105370.1, 6183.Smp_158410.1, 6183.Smp_158420.1, 6183.Smp_179950.1	NP_509112.1		
OG0000376	6183.Smp_070310.1	NP_508178.2, NP_508179.2, NP_510667.2	AAF48044.3, AAF50437.2	NP_013917.1, NP_015075.1
OG0000377	6183.Smp_076950.1, 6183.Smp_159740.1, 6183.Smp_159760.1	NP_495969.2, NP_495970.1	AAF49413.1	NP_009778.3, NP_009779.3
OG0000378	6183.Smp_083720.1	NP_492561.2, NP_494870.1, NP_502087.1, NP_506148.1	AAF49734.1, AAF57486.1	NP_010973.3
OG0000379	6183.Smp_086330.1	NP_491282.1, NP_492339.1, NP_492849.3, NP_493713.2	AAF47840.2, NP_476643.1	NP_015012.3
OG0000380	6183.Smp_090100.1, 6183.Smp_090110.1, 6183.Smp_153930.1, 6183.Smp_171320.1, 6183.Smp_173070.1, 6183.Smp_204600.1	NP_499725.1	AAF54501.2	
OG0000381	6183.Smp_096010.1	NP_498901.1, NP_498902.1, NP_506711.1	AAF47051.3, AAF50470.2	NP_012462.3, NP_116638.1
OG0000382	6183.Smp_098330.1, 6183.Smp_104660.1	NP_496300.1, NP_499415.1	AAF27630.1, AAF52798.2	NP_010073.2, NP_010888.1
OG0000383	6183.Smp_099850.3	NP_500235.4, NP_509131.2, NP_509132.1	NP_524425.2	NP_011917.1, NP_013134.1, NP_014519.1
OG0000384	6183.Smp_106930.1	NP_503068.1	NP_524063.1, NP_524356.1	NP_009396.2, NP_009478.1, NP_011029.3, NP_013076.1
OG0000385	6183.Smp_121160.1	NP_509133.1	AAD38577.1, AAF49238.1, AAF54347.1, AAF55767.2, AAF59153.1	NP_013452.1
OG0000386	6183.Smp_122810.1	NP_508202.1, NP_508902.3, NP_508942.1, NP_509943.1, NP_509944.1	AAF47921.3, NP_573357.1	
OG0000387	6183.Smp_124870.1, 6183.Smp_177520.1, 6183.Smp_182880.1, 6183.Smp_185930.1, 6183.Smp_189050.1, 6183.Smp_190740.1, 6183.Smp_192890.1, 6183.Smp_196830.1			
OG0000388	6183.Smp_129250.1	NP_497717.2, NP_499041.1, NP_505874.1	AAF52383.2	NP_012832.1, NP_013484.3, NP_013796.1
OG0000389	6183.Smp_132720.1, 6183.Smp_196350.1	NP_492569.2, NP_495959.2, NP_499076.1	AAF58626.2, NP_572952.1	NP_011385.3
OG0000390	6183.Smp_133330.1	NP_495415.2, NP_499940.2, NP_509894.2	AAF57044.1, AAF57045.2, NP_611904.1	NP_010740.3
OG0000391	6183.Smp_135470.1, 6183.Smp_159710.1, 6183.Smp_180870.1, 6183.Smp_193670.1	NP_495567.3	AAF46274.4, AAF46521.2, AAF46522.1	
OG0000392	6183.Smp_135610.1, 6183.Smp_176390.1	NP_497638.1, NP_497641.2, NP_497917.1	AAF49078.3, AAF51468.3, NP_477497.1	
OG0000393	6183.Smp_137170.1, 6183.Smp_199210.1	NP_500161.1, NP_500293.1, NP_500294.2, NP_501709.2	AAF59350.5	NP_011509.1
OG0000394	6183.Smp_139720.1, 6183.Smp_166790.1	NP_503070.2, NP_509719.2, NP_510563.2	NP_524931.1, Q9VAF0.1	NP_012241.1
OG0000395	6183.Smp_141100.1, 6183.Smp_141110.1	NP_499359.3	AAF45897.1, AAF48793.2, AAF50730.1, AAF53851.2	NP_012217.3
OG0000396	6183.Smp_145230.1	NP_498088.1, NP_498640.1, NP_502266.1	AAF50328.2, AAF50329.1, AAF50331.1, Q24432.3	
OG0000397	6183.Smp_145880.1	NP_492685.2, NP_504297.1, NP_504299.2	AAF59187.1	NP_010410.3, NP_011625.3, NP_013200.1
OG0000398	6183.Smp_146910.1	NP_500387.2, NP_510624.1	AAF53242.2, AAF54128.2, AAF55397.1, AAF55588.5	NP_013670.1
OG0000399	6183.Smp_147950.1	NP_491384.3, NP_508124.1	AAF46312.3, AAF46981.1, AAF56200.1	NP_010213.1, NP_013503.1
OG0000400	6183.Smp_151030.1	NP_490726.1, NP_499346.2, NP_502083.1, NP_508282.2	AAF45844.2, NP_523396.1	NP_012868.1
OG0000401	6183.Smp_152940.1, 6183.Smp_168630.1, 6183.Smp_174870.1, 6183.Smp_179570.1	NP_500374.2, NP_509170.1	AAF46052.1, NP_572237.1	
OG0000402	6183.Smp_153010.1, 6183.Smp_172130.1	NP_492442.3, NP_492443.3, NP_492444.4	NP_523664.1	NP_010697.3, NP_014799.1
OG0000403	6183.Smp_155000.1, 6183.Smp_180910.1	NP_495523.3, NP_508980.2	AAF54338.2	NP_011337.1, NP_011501.1, NP_013088.1
OG0000404	6183.Smp_158430.1, 6183.Smp_168300.1, 6183.Smp_179960.1, 6183.Smp_184360.1, 6183.Smp_193860.1	NP_503370.1	AAF50502.1	NP_015202.1
OG0000405	6183.Smp_164160.1, 6183.Smp_207060.1	NP_492875.2, NP_504793.1, NP_506611.1	AAF49464.2, AAF49848.1	NP_010390.3
OG0000406	6183.Smp_164760.1, 6183.Smp_171460.1	NP_508142.1, NP_509335.1, NP_509336.1, NP_510069.1	AAF45925.2, AAF47866.4	
OG0000407	6183.Smp_172110.1	NP_499613.1, NP_509190.1	AAF48082.2, AAF51366.1, AAF53293.1, NP_609792.1	NP_014931.3
OG0000408	6183.Smp_196620.1	NP_498106.1, NP_501175.1, NP_501176.1, NP_506077.1, NP_506439.1, NP_509638.2		NP_015118.1
OG0000409	6183.Smp_197640.1	NP_497974.1, NP_498054.2, NP_500925.1, NP_500926.3, NP_500927.3	AAF48365.4	NP_011733.3
OG0000410		NP_501657.1, NP_503516.1, NP_503857.2, NP_504578.1, NP_504579.1, NP_504589.1, NP_505014.1, NP_505015.1		
OG0000411		NP_493812.1, NP_494994.1, NP_496009.1, NP_500644.2, NP_500739.2, NP_500812.2, NP_501307.1, NP_501934.3		
OG0000412		NP_504350.1, NP_504351.1, NP_504352.2, NP_504413.1, NP_504417.2, NP_504418.1, NP_505373.1, NP_508632.2		
OG0000413		NP_491890.2, NP_493649.2, NP_501058.2, NP_505959.1, NP_510249.2	AAF46668.1, AAF58004.3, NP_611123.2	
OG0000414		NP_495450.1, NP_495979.1, NP_505451.1, NP_506502.1, NP_508035.1, NP_508731.3, NP_510728.2	AAF56245.1	
OG0000415		NP_491767.3, NP_500444.1, NP_502002.1, NP_509087.1	AAF45899.1, AAF45901.2, AAF54426.1	NP_013019.1
OG0000416		NP_493911.1, NP_494934.3, NP_494983.1, NP_494984.5, NP_495875.2, NP_496137.2, NP_496140.2, NP_496143.1		
OG0000417		NP_497685.2, NP_501823.2, NP_503058.1, NP_504616.1, NP_504617.2, NP_505957.1, NP_506544.2	AAF50577.2	
OG0000418		NP_495159.2, NP_495858.1, NP_496421.1, NP_496535.1, NP_498086.1, NP_501756.2, NP_505981.1, NP_506061.1		
OG0000419		NP_495579.3, NP_495725.2, NP_506803.2, NP_506805.1, NP_508298.2, NP_508529.1, NP_508597.2, NP_510593.1		
OG0000420		NP_502905.2, NP_504154.5, NP_510023.2, NP_510024.2, NP_510025.2, NP_510027.2, NP_510028.2, NP_510029.3		
OG0000421		NP_495109.1, NP_506110.1, NP_506111.2, NP_506112.1, NP_506113.1, NP_506114.1, NP_506115.2, NP_506986.1		
OG0000422		NP_491196.3, NP_491293.1, NP_491295.2, NP_491296.1, NP_501590.2, NP_505230.1, NP_510243.1, NP_510463.2		
OG0000423			AAF46193.2, AAF47678.2, AAF48086.2, AAF54545.2, AAF54546.3, AAF55340.2, AAF56418.3, NP_569876.3	
OG0000424			AAF48953.2, AAF53111.1, AAF53225.3, AAF53260.2, AAF57176.1, AAF57433.2, NP_477049.2, NP_523575.1	
OG0000425			AAF46848.2, AAF49401.2, AAF56502.3, AAF56503.2, AAF56504.1, AAF56505.2, AAF56506.2, AAF58399.1	
OG0000426			AAF47611.1, AAF47612.1, AAF47613.1, AAF47614.2, AAF47616.2, AAF51704.1, AAF51706.1, NP_477265.1	
OG0000427			AAF50455.3, AAF50456.3, AAF50457.1, AAF50600.3, AAF50601.3, AAF50602.3, AAF55425.1, NP_523649.5	
OG0000428			AAF46038.3, AAF48204.1, AAF52214.2, AAF52377.3, AAF53539.3, AAF58503.1, NP_609019.1, NP_609022.1	
OG0000429			AAD38611.1, AAF56062.1, AAF56063.1, AAF56064.2, AAF56825.1, AAF56827.1, AAF56828.1, AAF56829.1	
OG0000430				NP_010294.1, NP_010694.1, NP_012252.1, NP_014468.3, NP_014654.1, NP_014796.3, NP_014973.1, NP_015267.1
OG0000431				NP_010428.3, NP_010636.1, NP_011255.1, NP_012249.1, NP_012305.3, NP_013221.1, NP_013222.1, NP_076890.1
OG0000432	6183.Smp_000700.1, 6183.Smp_124950.1	NP_499143.1	AAF49923.1, AAF58645.2, NP_610730.1	NP_015160.1
OG0000433	6183.Smp_000790.1, 6183.Smp_029520.1, 6183.Smp_138170.1, 6183.Smp_148580.1	CAC70079.1, NP_509702.3	AAF54428.2	
OG0000434	6183.Smp_000810.2, 6183.Smp_147810.1	NP_493691.2, NP_504476.1	AAF55876.1, NP_610248.4	NP_009498.1
OG0000435	6183.Smp_000900.1	NP_498743.2, NP_503056.4, NP_503107.2, NP_505883.1, NP_509416.2, NP_509629.1		
OG0000436	6183.Smp_006510.1, 6183.Smp_006520.1, 6183.Smp_056680.2, 6183.Smp_112090.1, 6183.Smp_119130.1, 6183.Smp_185150.1, 6183.Smp_185190.1			
OG0000437	6183.Smp_006560.1, 6183.Smp_007450.2		AAF54857.2, AAF56229.3, NP_523995.1	NP_014928.1, NP_014929.3
OG0000438	6183.Smp_007690.1, 6183.Smp_174920.1	NP_495584.4, NP_495863.1	AAF47444.1, NP_476898.1, P17276.3	
OG0000439	6183.Smp_008620.1, 6183.Smp_105680.1	NP_501065.2, NP_503013.2, NP_503016.1	NP_523536.2	NP_012532.3
OG0000440	6183.Smp_014010.1	NP_490759.1, NP_491324.1, NP_510713.1, NP_510714.1	AAF51408.2	NP_014261.1
OG0000441	6183.Smp_018250.2, 6183.Smp_059170.2	NP_500741.2, NP_507250.1, NP_509488.2, NP_509906.1	AAF48803.2	
OG0000442	6183.Smp_018430.1	NP_499523.3, NP_500022.1	AAF48490.1, AAF57438.1	NP_013749.1, NP_013870.1
OG0000443	6183.Smp_018990.1	NP_498660.1	AAF53048.2, NP_477161.1	NP_011368.3, NP_012017.1, NP_014332.1
OG0000444	6183.Smp_019880.1, 6183.Smp_059350.2	NP_492721.1, NP_498590.4	AAF55326.1, NP_608632.1	NP_010699.1
OG0000445	6183.Smp_022020.1, 6183.Smp_152520.1	NP_502697.1	AAF46482.2, AAF46483.1, AAF51133.2	NP_015187.1
OG0000446	6183.Smp_022090.1	NP_498585.3, NP_498586.2, NP_498587.2	AAF50223.2, AAF50224.3	NP_009485.3
OG0000447	6183.Smp_024140.4	NP_492727.1, NP_510259.2, NP_510260.1	NP_476667.1, NP_611924.1	NP_011092.1
OG0000448	6183.Smp_024660.1, 6183.Smp_204750.1	NP_508596.1	AAF51373.1, AAF51374.1, AAF51388.2, NP_476899.1	
OG0000449	6183.Smp_024970.1	NP_494772.1, NP_494773.1, NP_494774.1	AAF51992.2, NP_609750.1	NP_010116.1
OG0000450	6183.Smp_026560.2	NP_503386.1	AAF47810.1, AAF58544.1, NP_476988.1, NP_523710.1	NP_009667.1
OG0000451	6183.Smp_027890.1, 6183.Smp_027900.1	NP_498309.3, NP_498310.3	AAF56189.1, AAF56190.3	NP_011423.1
OG0000452	6183.Smp_027940.1, 6183.Smp_137300.1, 6183.Smp_137310.1, 6183.Smp_137320.1, 6183.Smp_178420.1, 6183.Smp_180140.1, 6183.Smp_204580.1			
OG0000453	6183.Smp_027990.1, 6183.Smp_140730.1	NP_505732.3, NP_505952.3, NP_506419.3	AAF45521.1, P22809.3	
OG0000454	6183.Smp_030500.1	NP_493454.1, NP_499188.2	NP_476565.1, NP_611760.2	NP_010262.1, NP_014582.1
OG0000455	6183.Smp_030650.1, 6183.Smp_138730.1, 6183.Smp_138750.1, 6183.Smp_175120.2, 6183.Smp_212520.1	NP_504555.2	NP_572740.1	
OG0000456	6183.Smp_030760.1, 6183.Smp_034220.1	NP_495978.1, NP_498103.1	AAF55315.1, NP_477158.1	NP_011908.1
OG0000457	6183.Smp_031000.2, 6183.Smp_082850.2	NP_495525.2, NP_503151.1	AAF59135.2, NP_523573.1	NP_011517.1
OG0000458	6183.Smp_033400.1	NP_500629.1, NP_506156.1	NP_477164.1, NP_477176.1	NP_010875.1, NP_012582.1
OG0000459	6183.Smp_035030.1, 6183.Smp_152840.1	NP_495890.2	AAF47973.2, AAF53921.2, NP_476641.1	NP_013523.3
OG0000460	6183.Smp_035220.1, 6183.Smp_179050.1	NP_500416.1, NP_501510.1	AAF50008.1, AAF59380.1, AAF59381.4	
OG0000461	6183.Smp_035730.1, 6183.Smp_138810.1, 6183.Smp_153890.1	NP_496766.1, NP_497966.2	AAF51454.2	NP_009943.2
OG0000462	6183.Smp_035800.1	NP_497072.1, NP_497727.1	Q9VXX8.1, Q9W1U6.1	NP_010788.1, NP_013286.1
OG0000463	6183.Smp_037020.1, 6183.Smp_142100.1	NP_495441.1, NP_495442.1, NP_495443.1, NP_495444.1	AAF54130.2	
OG0000464	6183.Smp_037230.1, 6183.Smp_149130.1	NP_500060.1, NP_500061.4, NP_508051.1	NP_523385.1	NP_010414.3
OG0000465	6183.Smp_037930.1, 6183.Smp_042630.1, 6183.Smp_061500.1	NP_497790.2	AAF47531.2, AAF57804.3	NP_014882.4
OG0000466	6183.Smp_039180.1	NP_495093.1, NP_495094.1, NP_495096.1, NP_495097.1	AAF56480.3	NP_009729.1
OG0000467	6183.Smp_039820.1, 6183.Smp_124830.1	NP_493375.2, NP_502208.1	AAF55180.2, NP_608563.1	NP_014176.2
OG0000468	6183.Smp_041460.1, 6183.Smp_140000.1, 6183.Smp_140130.1, 6183.Smp_140140.1, 6183.Smp_152990.1, 6183.Smp_155310.1, 6183.Smp_201720.1			
OG0000469	6183.Smp_041550.1, 6183.Smp_046630.1, 6183.Smp_074590.1, 6183.Smp_141500.2, 6183.Smp_147160.1, 6183.Smp_201730.1, 6183.Smp_205580.1			
